id	sex	body_mass	hind_limb_length	muscle_mass	body_fat	takeoff_velocity
A	female	3640	29.1	51.15	29	334.5
B	female	2670	28.55	46.05	17	387.3
C	male	5600	31.74	95.9	31	410.8
D	female	4130	26.9	55.65	39	318.6
E	female	3020	26.11	57.2	15	368.7
F	female	2660	26.69	48.67	11	358.8
G	female	3240	26.74	64.55	21	344.6
H male	5140	27.71	78.8	35	324.6
I	female	3690	25.47	54.6	33	301.4
J	female	3620	28.18	55.5	15	331.8
K	female	5310	28.45	68.8	42	312.6
L	male	5560	28.65	79.8	37	316.8
M	male	3970	29.82	69.4	20	375.6
N	female	3770	26.66	60.25	26	372.4
O	female	5100	27.84	60.7	41	314.3
P	female	2950	27.89	55.65	25	367.5
Q	male	7930	30.58	98.95	48	286.3
R	female	3550	28.06	79.25	16	352.5
