Words	Memorized
Recognizable	1
Recognizable	3
Recognizable	3
Recognizable	6
Recognizable	6
Recognizable	6
Recognizable	6
Recognizable	6
Recognizable	9
Recognizable	9
Recognizable	12
Recognizable	12
Recognizable	15
Recognizable	18
Recognizable	18
Recognizable	18
Recognizable	18
Recognizable	21
Recognizable	21
Recognizable	21
Recognizable	21
Recognizable	24
Recognizable	27
Recognizable	27
Recognizable	30
NotRecognizable	1
NotRecognizable	1
NotRecognizable	1
NotRecognizable	2
NotRecognizable	3
NotRecognizable	6
NotRecognizable	6
NotRecognizable	6
NotRecognizable	6
NotRecognizable	9
NotRecognizable	12
NotRecognizable	12
NotRecognizable	12
NotRecognizable	12
NotRecognizable	14
NotRecognizable	14
NotRecognizable	14
NotRecognizable	14
NotRecognizable	14
NotRecognizable	15
NotRecognizable	16
NotRecognizable	16
NotRecognizable	18
NotRecognizable	21
NotRecognizable	21
NotRecognizable	24
