group	score
down	-1.32
down	0.24
down	-1.14
down	0.21
down	3.41
down	4.12
down	-2.07
down	3.03
down	2.52
down	2.13
down	3.60
down	2.22
down	-2.19
down	1.39
down	-0.55
down	1.45
down	0.13
down	-1.67
down	-0.74
down	1.30
down	0.99
down	2.05
down	-1.42
down	1.08
control	0.54
control	-0.91
control	-2.59
control	-1.86
control	1.16
control	0.92
control	-1.82
control	1.65
control	-2.71
control	2.06
control	-2.41
control	1.79
control	-0.28
control	-2.90
control	0.81
control	1.75
control	-0.02
control	-1.35
control	0.64
control	-2.48
control	1.03
control	-2.11
control	-0.58
control	-2.88
up	0.35
up	-2.11
up	-1.47
up	0.46
up	-1.75
up	1.50
up	-0.99
up	-0.63
up	-1.93
up	-2.29
up	0.78
up	-0.81
up	-1.33
up	1.79
up	1.87
up	-1.05
up	0.93
up	-0.56
up	-1.57
up	-1.97
up	1.54
up	2.96
up	-1.81
up	1.52
