State	Donation
California	20
California	0
California	20
California	15
California	20
California	20
California	0
California	20
California	100
California	20
California	0
California	50
California	10
California	0
Kansas	0
Kansas	25
Kansas	10
Kansas	10
Kansas	5
Kansas	100
Kansas	20
Kansas	20
Kansas	20
Kansas	5
Kansas	10
Kansas	0
Kansas	30
Kansas	20
Maine	0
Maine	20
Maine	0
Maine	20
Maine	5
Maine	20
Maine	20
Maine	50
Maine	30
Maine	5
Maine	0
Maine	20
Maine	100
Maine	0
Maine	20
Maine	100
