Level	Kills
1	15
1	29
1	14
1	14
1	13
1	13
1	26
1	13
1	14
1	21
1	14
1	20
1	16
1	22
1	21
1	29
1	24
1	25
1	17
1	26
1	14
1	21
1	11
1	26
1	10
1	28
1	10
1	21
1	19
1	17
2	22
2	17
2	14
2	13
2	13
2	23
2	22
2	19
2	15
2	12
2	21
2	13
2	12
2	10
2	17
2	26
2	22
2	33
2	17
2	12
2	25
2	28
2	33
2	18
2	24
2	17
2	24
2	21
2	17
2	19
2	14
3	22
3	15
3	26
3	11
3	15
3	13
3	28
3	20
3	9
3	20
3	14
3	11
3	13
3	16
3	21
3	24
3	15
3	35
3	24
3	11
3	29
3	26
3	28
3	8
3	25
3	23
3	23
3	14
3	22
3	23
3	12
