Relationship	Number_Correct
Strangers	5
Strangers	4
Strangers	4
Strangers	4
Strangers	3
Strangers	6
Strangers	6
Acquaintance	6
Acquaintance	4
Acquaintance	6
Acquaintance	4
Acquaintance	4
Acquaintance	3
Acquaintance	4
CloseFriends	4
CloseFriends	7
CloseFriends	5
CloseFriends	7
CloseFriends	7
CloseFriends	5
CloseFriends	7
Strangers	3
Strangers	5
Strangers	6
Strangers	4
Strangers	3
Strangers	7
Strangers	3
Acquaintance	3
Acquaintance	4
Acquaintance	5
Acquaintance	6
Acquaintance	4
Acquaintance	2
Acquaintance	5
CloseFriends	8
CloseFriends	6
CloseFriends	6
CloseFriends	7
CloseFriends	9
CloseFriends	4
CloseFriends	8
CloseFriends	4
Acquaintance	7
Strangers	6
Acquaintance	3
Strangers	3
CloseFriends	7
Acquaintance	5
Strangers	7
Strangers	7
Strangers	3
Acquaintance	2
Strangers	7
CloseFriends	5
CloseFriends	4
Strangers	4
Acquaintance	4
CloseFriends	7
CloseFriends	6
Acquaintance	4
Acquaintance	4
Strangers	3
Strangers	4
CloseFriends	7
Acquaintance	7
CloseFriends	7
CloseFriends	5
Strangers	6
Acquaintance	9
CloseFriends	7
CloseFriends	8
Strangers	6
Strangers	6
Acquaintance	6
Acquaintance	4
Acquaintance	7
CloseFriends	4
Acquaintance	4
Strangers	7
Strangers	4
Acquaintance	6
Acquaintance	5
Acquaintance	6
Acquaintance	6
CloseFriends	4
