dutch	FP
25.00	26.25
24.00	25.25
26.00	27
20.00	20.75
20.00	20.75
15.00	15.25
5.00	5.25
2.00	2.25
3.20	3.45
3.40	3.6
5.00	5.1
2.00	2.1
1.50	1.5
0.20	0.2
0.15	0.15
0.50	0.5
1.00	1
2.00	2
1.50	1.5
4.00	4
7.00	7
8.00	8
2.00	2
3.50	3.5
0.15	0.1
4.00	3.9
2.25	2.15
3.50	3.4
3.80	3.7
7.00	6.9
4.00	3.9
3.50	3.4
2.25	2.15
2.40	2.3
0.50	0.4
0.50	0.25
0.75	0.5
1.00	0.75
1.00	0.75
1.00	0.75
1.00	0.75
1.25	1
1.25	1
6.00	5.75
3.45	3.2
2.00	1.75
2.50	2.2
5.00	4.7
5.50	5.2
6.50	6.2
7.00	6.7
2.50	2.2
8.00	7.7
10.00	9.5
12.00	11.5
12.50	12
4.00	3.5
2.00	1.5
2.50	2
3.50	3
6.50	6
8.50	8
9.00	8.5
10.00	9.5
9.50	9
3.00	2.5
2.25	1.75
2.75	2
8.00	7.25
3.00	2.25
1.25	0.5
2.00	1.25
2.20	1.4
2.80	2
3.00	2.2
1.50	0.5
2.00	0.75
2.25	1
1.50	0.25
2.25	1
2.25	1
2.80	1.5
3.00	1.5
2.20	0.4
7.00	4.75
7.30	5
8.50	6.2
20.00	17.6
