treatment	elasticity
Treated	12.25
Treated	10.75
Treated	5
Treated	10.75
Treated	8
Treated	6
Treated	9.25
Treated	4
Treated	10.25
Treated	7.25
Treated	8
Treated	6.25
Treated	7.25
Treated	9.25
Treated	6
Treated	7.5
Treated	4
Treated	10.25
Treated	8.25
Treated	4.75
Treated	5.5
Treated	7.25
Untreated	17
Untreated	12.25
Untreated	6.5
Untreated	10.25
Untreated	16
Untreated	11.25
Untreated	12
Untreated	11
Untreated	14
Untreated	12
Untreated	10
Untreated	10.25
Untreated	12
Untreated	8
Untreated	14
Untreated	9
Untreated	10.25
Untreated	15
Untreated	10
Untreated	12.25
Untreated	16
Untreated	10.25
