doors	headinjury
two	599
four	585
four	435
four	600
four	185
two	1036
four	815
four	1467
two	880
four	423
other	1603
other	1849
two	343
two	864
two	733
two	585
four	1328
four	533
four	770
four	772
four	493
other	892
other	1387
other	3665
four	1200
two	834
two	772
four	1026
other	985
other	1074
four	786
four	517
two	791
two	298
four	1362
four	511
two	768
four	1354
other	685
other	985
other	1169
two	399
two	1488
four	503
four	1421
four	745
four	877
other	1568
two	994
other	2613
two	551
two	434
four	903
other	1074
two	1014
two	479
two	651
two	970
two	550
other	977
other	1270
four	707
four	735
four	480
four	721
two	541
two	951
four	1075
four	1030
two	417
two	769
four	750
four	562
four	1068
two	750
two	787
two	1279
four	757
two	716
two	696
two	870
four	1196
two	466
two	996
four	1809
four	1254
other	1764
other	1873
four	580
four	1269
four	1564
four	968
four	943
other	1052
two	758
four	992
four	863
four	471
four	846
four	273
two	920
other	1038
four	779
two	921
four	800
four	712
four	743
four	940
two	772
four	971
four	1024
four	960
two	1320
two	952
other	805
two	407
two	1226
two	765
other	1051
four	808
four	907
other	1528
other	1465
other	742
two	1134
four	2034
four	1047
two	583
four	1105
four	546
other	949
four	405
four	710
four	1983
four	1831
four	1701
four	663
four	762
four	873
other	903
two	846
two	819
four	603
other	761
four	1656
two	718
four	584
four	918
four	1339
two	611
four	1007
two	1345
two	1314
four	1306
four	871
two	834
two	593
four	994
four	1238
four	790
other	1184
other	1520
other	1342
other	1434
two	1005
four	1138
other	1183
two	1801
two	1114
two	787
four	1182
other	1320
four	519
two	1855
two	597
four	637
four	618
four	515
four	710
four	1144
four	794
two	426
two	535
other	1424
other	1838
two	739
two	559
two	660
two	583
four	1365
four	1101
four	485
four	752
four	956
other	374
other	1719
other	1452
two	2482
four	1826
other	522
other	1358
four	682
four	2132
two	1698
two	2043
four	424
two	642
four	816
other	466
other	754
other	558
two	297
two	653
four	457
four	537
four	589
four	868
other	1070
two	950
other	1896
two	418
two	450
other	587
two	822
two	301
two	438
two	496
two	418
other	551
other	736
four	359
four	609
four	258
four	470
two	496
two	1177
four	840
four	1141
two	981
two	382
four	378
four	539
four	601
two	520
two	533
two	854
four	345
two	1003
two	419
two	618
four	937
two	443
two	744
four	1042
four	884
other	1067
other	723
four	1520
four	1952
four	1796
four	841
other	2700
two	1229
four	630
four	492
four	801
four	859
two	531
other	500
four	612
two	614
four	833
four	410
four	626
four	425
two	612
four	998
four	711
four	772
two	488
two	377
other	713
two	525
two	664
other	654
four	736
four	861
other	1242
other	1244
other	965
two	430
four	799
four	526
two	681
four	629
other	597
four	328
four	539
four	2192
four	1786
four	157
four	810
four	446
other	501
two	601
two	897
four	404
other	595
four	873
two	1250
four	440
four	1018
four	884
two	547
four	675
two	1763
two	2017
four	1133
four	973
two	685
two	397
four	546
four	613
four	544
other	699
other	883
other	808
other	790
two	398
four	729
other	530
two	2140
two	1424
two	818
four	604
other	899
four	445
two	379
