doors	logheadinjury
two	2.777426822
four	2.767155866
four	2.638489257
four	2.77815125
four	2.267171728
two	3.015359755
four	2.911157609
four	3.166430114
two	2.944482672
four	2.626340367
other	3.204933522
other	3.266936911
two	2.53529412
two	2.936513742
two	2.865103975
two	2.767155866
four	3.123198075
four	2.726727209
four	2.886490725
four	2.8876173
four	2.692846919
other	2.950364854
other	3.142076461
other	3.564073979
four	3.079181246
two	2.921166051
two	2.8876173
four	3.011147361
other	2.99343623
other	3.031004281
four	2.895422546
four	2.713490543
two	2.898176483
two	2.474216264
four	3.134177108
four	2.7084209
two	2.88536122
four	3.131618664
other	2.835690571
other	2.99343623
other	3.067814511
two	2.600972896
two	3.172602931
four	2.701567985
four	3.152594078
four	2.872156273
four	2.942999593
other	3.195346058
two	2.997386384
other	3.41713941
two	2.741151599
two	2.63748973
four	2.95568775
other	3.031004281
two	3.006037955
two	2.680335513
two	2.813580989
two	2.986771734
two	2.740362689
other	2.989894564
other	3.103803721
four	2.849419414
four	2.866287339
four	2.681241237
four	2.857935265
two	2.733197265
two	2.978180517
four	3.031408464
four	3.012837225
two	2.620136055
two	2.88592634
four	2.875061263
four	2.749736316
four	3.028571253
two	2.875061263
two	2.895974732
two	3.106870544
four	2.87909588
two	2.854913022
two	2.84260924
two	2.939519253
four	3.07773118
two	2.668385917
two	2.998259338
four	3.257438567
four	3.098297536
other	3.246498581
other	3.272537777
four	2.763427994
four	3.103461622
four	3.194236749
four	2.985875357
four	2.974511693
other	3.02201574
two	2.879669206
four	2.996511672
four	2.936010796
four	2.673020907
four	2.927370363
four	2.436162647
two	2.963787827
other	3.016197354
four	2.891537458
two	2.96425963
four	2.903089987
four	2.852479994
four	2.870988814
four	2.973127854
two	2.8876173
four	2.98721923
four	3.010299957
four	2.982271233
two	3.120573931
two	2.978636948
other	2.90579588
two	2.609594409
two	3.08849047
two	2.883661435
other	3.021602716
four	2.907411361
four	2.957607287
other	3.184123354
other	3.165837625
other	2.870403905
two	3.054613055
four	3.308350949
four	3.019946682
two	2.765668555
four	3.043362278
four	2.737192643
other	2.977266212
four	2.607455023
four	2.851258349
four	3.297322714
four	3.262688344
four	3.230704314
four	2.821513528
four	2.881954971
four	2.941014244
other	2.95568775
two	2.927370363
two	2.913283902
four	2.780317312
other	2.881384657
four	3.219060332
two	2.856124444
four	2.766412847
four	2.962842681
four	3.126780577
two	2.78604121
four	3.003029471
two	3.128722284
two	3.118595365
four	3.115943177
four	2.940018155
two	2.921166051
two	2.773054693
four	2.997386384
four	3.092720645
four	2.897627091
other	3.073351702
other	3.181843588
other	3.127752516
other	3.156549151
two	3.002166062
four	3.056142262
other	3.072984745
two	3.255513713
two	3.046885191
two	2.895974732
four	3.072617477
other	3.120573931
four	2.715167358
two	3.268343914
two	2.775974331
four	2.804139432
four	2.790988475
four	2.711807229
four	2.851258349
four	3.058426024
four	2.899820502
two	2.629409599
two	2.728353782
other	3.153509989
other	3.264345507
two	2.868644438
two	2.747411808
two	2.819543936
two	2.765668555
four	3.135132651
four	3.041787319
four	2.685741739
four	2.876217841
four	2.980457892
other	2.572871602
other	3.235275877
other	3.161966616
two	3.394801777
four	3.261500773
other	2.717670503
other	3.13289977
four	2.833784375
four	3.3287872
two	3.229937686
two	3.310268367
four	2.627365857
two	2.807535028
four	2.911690159
other	2.668385917
other	2.877371346
other	2.746634199
two	2.472756449
two	2.814913181
four	2.6599162
four	2.729974286
four	2.770115295
four	2.938519725
other	3.029383778
two	2.977723605
other	3.277838333
two	2.621176282
two	2.653212514
other	2.768638101
two	2.914871818
two	2.478566496
two	2.641474111
two	2.695481676
two	2.621176282
other	2.741151599
other	2.866877814
four	2.555094449
four	2.784617293
four	2.411619706
four	2.672097858
two	2.695481676
two	3.070776463
four	2.924279286
four	3.057285644
two	2.991669007
two	2.582063363
four	2.5774918
four	2.731588765
four	2.778874472
two	2.716003344
two	2.726727209
two	2.931457871
four	2.537819095
two	3.001300933
two	2.622214023
two	2.790988475
four	2.971739591
two	2.646403726
two	2.871572936
four	3.017867719
four	2.946452265
other	3.028164419
other	2.859138297
four	3.181843588
four	3.290479813
four	3.254306332
four	2.924795996
other	3.431363764
two	3.089551883
four	2.799340549
four	2.691965103
four	2.903632516
four	2.933993164
two	2.725094521
other	2.698970004
four	2.786751422
two	2.788168371
four	2.920645001
four	2.612783857
four	2.796574333
four	2.62838893
two	2.786751422
four	2.999130541
four	2.851869601
four	2.8876173
two	2.688419822
two	2.57634135
other	2.85308953
two	2.720159303
two	2.822168079
other	2.815577748
four	2.866877814
four	2.935003151
other	3.094121596
other	3.09482038
other	2.984527313
two	2.633468456
four	2.902546779
four	2.720985744
two	2.833147112
four	2.798650645
other	2.775974331
four	2.515873844
four	2.731588765
four	3.34084055
four	3.251881455
four	2.195899652
four	2.908485019
four	2.649334859
other	2.699837726
two	2.778874472
two	2.952792443
four	2.606381365
other	2.774516966
four	2.941014244
two	3.096910013
four	2.643452676
four	3.007747778
four	2.946452265
two	2.737987326
four	2.829303773
two	3.246252312
two	3.304705898
four	3.05422991
four	2.98811284
two	2.835690571
two	2.598790507
four	2.737192643
four	2.787460475
four	2.7355989
other	2.844477176
other	2.945960704
other	2.907411361
other	2.897627091
two	2.599883072
four	2.862727528
other	2.72427587
two	3.330413773
two	3.153509989
two	2.912753304
four	2.781036939
other	2.953759692
four	2.648360011
two	2.57863921
