OnCampus	CumGpa
N	2.92
N	3.59
N	3.36
N	2.47
N	3.46
Y	2.98
Y	3.07
Y	3.79
N	3.21
Y	3.67
Y	3.42
Y	3.77
Y	3.43
Y	3.68
Y	3.43
N	1.89
Y	3.04
N	3.19
Y	3.81
N	3.56
N	2.8
N	3.38
Y	3.81
Y	2.83
Y	3.41
N	3.91
N	3.58
Y	3.7
N	3.61
N	2.54
N	3.21
Y	3.67
N	2.38
N	2.68
Y	3.7
N	3.57
N	3.6
Y	3.5
Y	2.68
N	3.85
Y	3.71
Y	3.92
Y	3.39
Y	3.82
Y	3.27
Y	3.72
Y	3.31
N	3.7
Y	3.53
Y	3.47
N	3.98
N	3.85
N	3.99
N	2.62
N	3.07
Y	3.66
N	3.09
Y	3.33
Y	3.74
N	3.36
Y	2.53
Y	2.87
N	3.6
Y	3.69
N	3.57
Y	3.97
Y	3.5
N	3.03
Y	3.83
N	3.58
Y	3.88
N	3.77
Y	3.33
Y	3.39
Y	3.64
Y	3.48
Y	3.13
Y	3.3
Y	3.71
N	3.5
Y	3.45
Y	3.71
Y	3.7
Y	3.85
N	3.13
Y	3.73
Y	1.43
Y	4
Y	3.75
Y	3.3
N	2.41
Y	3.9
Y	3.52
Y	3.22
Y	3.7
Y	3.24
Y	3.7
Y	2.91
N	3.15
Y	3.19
N	2.82
Y	3.57
Y	3.29
N	3.44
Y	3.82
Y	3.77
Y	2.82
Y	2.88
Y	3.6
Y	3.99
Y	3.43
Y	3.87
Y	3.78
Y	3.36
N	3.98
Y	3.97
Y	3.41
N	2.99
Y	3.2
Y	3.67
Y	3.5
Y	3.41
Y	2.45
Y	3.45
Y	3.35
Y	2.82
Y	4
Y	3.69
Y	3.54
Y	3.83
Y	3.64
Y	3.51
Y	2.22
N	3.46
N	3.32
Y	3.49
Y	3.75
Y	2.65
N	3.26
Y	3.29
Y	3.39
Y	2.63
Y	2.21
Y	3.6
Y	3.74
Y	2.38
Y	3.06
Y	2.99
Y	3.6
Y	3.79
Y	3.07
Y	3.84
N	3.32
Y	3.33
Y	2.7
Y	3.6
Y	3.48
Y	3.61
Y	3.62
N	3.32
Y	2.01
Y	3.78
Y	3.55
Y	3.23
N	2.84
Y	3.65
Y	3.93
Y	2.54
Y	3.1
Y	3.37
Y	3.29
Y	3.8
N	3.48
Y	3.57
N	3.42
Y	3.42
N	3.67
N	3.02
Y	3.4
Y	3.49
N	1.77
Y	2.39
Y	3.13
Y	3.71
Y	3.48
Y	3.52
Y	3.39
Y	3.41
Y	3.75
Y	3.12
Y	3.84
Y	3.57
Y	2.89
Y	1.91
Y	3.1
N	2.58
Y	3.47
Y	3.22
Y	3.22
Y	3.99
Y	3.46
Y	3.22
Y	3.41
N	2.96
Y	3.34
Y	3.28
N	2.41
Y	3.98
