Diet	BMI
Atkins	0.1
Atkins	-1
Atkins	-5.4
Atkins	-6.2
Atkins	-4.1
Atkins	-1.7
Atkins	3.4
Atkins	-1.1
Atkins	-7.7
Atkins	0.5
Atkins	-0.2
Atkins	0.5
Atkins	-0.7
Atkins	-3.5
Atkins	-0.4
Atkins	-2.5
Atkins	-3.2
Atkins	-1.6
Atkins	-4.6
Atkins	-3.7
Atkins	-1.6
Atkins	1.4
Atkins	-3.7
Atkins	-1.5
Atkins	-2.9
Atkins	-3.3
Atkins	-1.1
Atkins	0.5
Atkins	0.1
Atkins	0
Atkins	-4.5
Atkins	2.2
Atkins	-1.5
Atkins	-4.2
Atkins	3.1
Atkins	-3.7
Atkins	0.8
Atkins	-2
Atkins	0.3
Atkins	-4.5
Atkins	0.6
Atkins	-2.7
Atkins	-2.4
Atkins	-1.3
Atkins	-1.3
Atkins	-2.1
Atkins	-3.6
Atkins	-2.1
Atkins	-2.1
Atkins	-0.6
Atkins	2.6
Atkins	-4.5
Atkins	-1.2
Atkins	-0.7
Atkins	-0.6
Atkins	0
Atkins	-2.1
Atkins	-3.6
Atkins	4.4
Atkins	-9.6
Atkins	-0.8
Atkins	-1.1
Atkins	-6.8
Atkins	-1.7
Atkins	1.3
Atkins	-0.9
Atkins	1.5
Atkins	-3.7
Atkins	2.4
Atkins	-3.8
Atkins	-0.3
Atkins	0.3
Atkins	-1.1
Atkins	0.4
Atkins	-3.8
Atkins	-5.4
Atkins	-1.5
Zone	2
Zone	1.8
Zone	-3.1
Zone	0.6
Zone	1.2
Zone	1
Zone	-2.3
Zone	2.2
Zone	-0.7
Zone	0.3
Zone	-3.1
Zone	0.6
Zone	0.2
Zone	-2.4
Zone	-1.4
Zone	1.5
Zone	2.5
Zone	-1.3
Zone	-0.6
Zone	1.6
Zone	-4
Zone	0.1
Zone	2.2
Zone	-0.4
Zone	0
Zone	0.1
Zone	-1.8
Zone	2.3
Zone	2.4
Zone	-2.4
Zone	2.6
Zone	-1.6
Zone	5.1
Zone	-0.1
Zone	-2.2
Zone	0.1
Zone	-1.5
Zone	-2
Zone	1.5
Zone	0.5
Zone	1.2
Zone	-1.2
Zone	-2
Zone	-4.1
Zone	-0.8
Zone	-3.3
Zone	-1.7
Zone	1.2
Zone	-1.2
Zone	-1.4
Zone	-1.4
Zone	1.5
Zone	-0.1
Zone	-0.4
Zone	-1.2
Zone	-1.6
Zone	-3.4
Zone	1.1
Zone	-2.9
Zone	-2.1
Zone	-4.6
Zone	-0.3
Zone	-1.6
Zone	-1.5
Zone	4.6
Zone	1.3
Zone	-3.5
Zone	-2.3
Zone	-1.8
Zone	-0.8
Zone	-1
Zone	-1.9
Zone	3.3
Zone	-0.8
Zone	-2.6
Zone	-2
Zone	-2.9
Zone	-0.7
Zone	-0.5
Ornish	-4
Ornish	-1
Ornish	-2.7
Ornish	1.6
Ornish	-5.1
Ornish	-1.9
Ornish	-1.4
Ornish	-2.6
Ornish	1.8
Ornish	1.6
Ornish	4.3
Ornish	-0.2
Ornish	-1.6
Ornish	3.4
Ornish	1.9
Ornish	-2.7
Ornish	-2.3
Ornish	-4.6
Ornish	0
Ornish	-0.5
Ornish	-5
Ornish	-1.4
Ornish	-0.9
Ornish	1.8
Ornish	-3.1
Ornish	0.7
Ornish	-1.4
Ornish	-2.6
Ornish	-2.8
Ornish	0.7
Ornish	-2.6
Ornish	-0.4
Ornish	0.1
Ornish	-3.4
Ornish	-1.3
Ornish	-2.5
Ornish	0.8
Ornish	-3.9
Ornish	-2.3
Ornish	0.2
Ornish	0.8
Ornish	1.1
Ornish	1.6
Ornish	-2.8
Ornish	1.6
Ornish	1.6
Ornish	0.6
Ornish	-0.2
Ornish	-3.4
Ornish	0.4
Ornish	2.2
Ornish	-0.6
Ornish	-0.3
Ornish	-4.9
Ornish	-0.4
Ornish	-1.5
Ornish	1.6
Ornish	-0.6
Ornish	2.3
Ornish	-2.2
Ornish	-2.8
Ornish	-2.7
Ornish	0.1
Ornish	1.3
Ornish	-4.1
Ornish	-0.5
Ornish	1
Ornish	-0.7
Ornish	3.6
Ornish	-0.8
Ornish	-2.6
Ornish	-0.7
Ornish	-0.4
Ornish	-1.7
Ornish	2.3
Ornish	-1.4
