Pre	Post
21	21.5
21	21.25
21.5	20
23	23.38
21	21
20.5	20.75
22.88	23.75
22.5	21.5
16.5	17.25
16	17.25
22	23.75
20	21
21	21.25
22	22.75
21.25	21.5
18	19.5
19	21
17.5	19.25
16	14.75
17	18
22.5	22.25
20.25	19.25
15.75	16.75
21	20
21.75	21.5
23.5	24
19.5	18
14.75	16.5
12.25	16.5
15	16.25
21.88	22.5
23.38	23
18.75	19.75
19.63	19.88
22.63	24
21.13	23
21.25	21
22.25	21.5
17.38	18.25
14.75	16
19.25	19.5
28.25	24.5
20.25	20.75
13.13	15
23.5	24.5
18.5	19.5
20.5	21.5
14.25	14.25
21	22
23	23
18	21.5
25	25.13
16	15
19.75	19.75
18.75	20
24.5	24
14.88	16
25.13	25.25
20.63	20
20	20.5
17.5	18.5
23.38	21
20	20.75
19.25	20
14.25	15.5
19	21
21	21.75
13	17.25
18.75	19.25
16.5	17.5
15.88	19.5
22.63	23.38
18.63	19
23.13	22
17	18.25
20.13	21.25
19	19.25
16.63	17
17.88	18.75
16	17
20.75	21.25
21.88	21.25
23.75	24
25.38	25.25
18.5	17.38
23	21.38
22	21.25
22.25	21.63
20.5	19.38
18.5	19.63
18.5	19.13
24	23.75
22	21
22.75	21.25
20.5	21
21.75	21.25
23.38	23.5
14	12.75
21	20.75
22.5	22.75
20	20.75
20	20.75
21.5	20
23.5	23
23.25	22.5
22.5	23
23.25	23.25
21.75	21.75
15.75	17
18	19
23	24.5
21.5	22
23.75	23
22.5	24
21.75	21.5
20.5	21
23	24
25	27
22.25	22.5
20.5	21.5
22	22.5
21.25	22
20	21.5
20.25	21
21.5	21.75
25.13	25.5
17.25	18.25
21.38	22
19.88	19.25
22	22.5
19.25	20.75
22.5	21.5
21.75	21.25
21.5	21.75
20.5	21
19.38	18.25
20.38	20.25
19.13	19.75
16.88	21.5
20	21.25
18	18
21.13	21
22.5	21.63
22	22.63
23.5	23.5
13.88	16.5
23.25	23.5
19.5	19.5
22	23
20.13	20
21	22.75
22.88	22.5
22.5	22.5
22.5	23.5
23.75	32.5
23.5	23.38
18.5	20.25
21.88	22
22	21.5
21.25	23.5
23	23
20.75	21.75
13.25	14.75
21.13	22
18.5	19
21	19.5
21.5	18.5
22.13	22.5
13	13
21.5	21.5
19.63	20.5
22.5	22.75
19.25	19.5
22.88	23.5
23.38	24
24.5	24.38
23	23.5
21.75	23.25
22.13	22.5
