height	haircut
69	30
68	22
66	10
76	18
71	21
73	10
71	0
64	15
67	90
74	23
62	28
71	9
69	6
57	8
70	35
67	16
68	16
68	40
69	30
62	0
74	25
69	11
74	23
68	50
71	0
74	25
66	20
71	13
75	7
72	30
71	13
66	40
72.5	0
71	5
72	160
70	20
64	30
63	35
66.5	80
62	20
63	35
67	0
60	130
61	20
64	120
66	0
70	6
68	12
61	37
68	8
70	10
66	40
59	75
64	35
71	100
74	10
65	30
67	35
74	35
70	0
64	40
71	12
70	35
69	40
62	35
68	50
60	15
69	30
71	16
70	15
70	20
61	13
64	50
68	5
70	20
65	17
62	50
67	160
65	40
69	15
66	30
66	40
67	12
55	85
55	85
71	12
63	0
75	8
67	30
67	15
68	95
71	20
72	20
67	18
