age	Price
2	21990
2	21990
2	21987
3	20955
3	20955
0	19995
1	19990
2	19990
0	19975
2	18995
2	17995
1	17987
1	17495
1	17299
2	17200
1	16995
3	16995
1	16990
1	16988
3	16987
2	16987
1	16900
2	16495
1	16300
2	16288
2	15995
3	15995
2	15990
3	15990
2	15500
3	15499
0	15490
3	15288
3	15030
2	14999
1	14995
3	14995
2	14994
1	14988
2	14987
2	14987
3	14987
4	14987
2	13995
1	13995
4	13995
4	13995
2	13994
4	13990
2	13988
4	13987
3	13987
4	13987
3	13795
3	13649
4	13599
2	12995
3	12990
2	12988
5	12987
4	12950
4	12900
4	12585
6	12500
3	12495
4	12488
3	11988
5	11987
4	10995
3	10995
4	10992
6	10305
4	9988
6	9987
7	9950
6	9900
7	9275
6	8997
6	8992
6	8979
6	8395
5	8395
8	7995
8	7995
6	7500
11	6995
6	6900
7	6700
6	6200
14	1200
