year	time
y1978	78
y1978	74
y1978	68
y1978	76
y1978	80
y1978	84
y1978	50
y1978	93
y1978	55
y1978	76
y1978	58
y1978	74
y1978	75
y1978	80
y1978	56
y1978	80
y1978	69
y1978	57
y1978	90
y1978	42
y1978	91
y1978	51
y1978	79
y1978	53
y1978	82
y1978	51
y1978	76
y1978	82
y1978	84
y1978	53
y1978	86
y1978	51
y1978	85
y1978	45
y1978	88
y1978	51
y1978	80
y1978	49
y1978	82
y1978	75
y1978	73
y1978	67
y1978	68
y1978	86
y1978	72
y1978	75
y1978	75
y1978	66
y1978	84
y1978	70
y1978	79
y1978	60
y1978	86
y1978	71
y1978	67
y1978	81
y1978	76
y1978	83
y1978	76
y1978	55
y1978	73
y1978	56
y1978	83
y1978	57
y1978	71
y1978	72
y1978	77
y1978	55
y1978	75
y1978	73
y1978	70
y1978	83
y1978	50
y1978	95
y1978	51
y1978	82
y1978	54
y1978	83
y1978	51
y1978	80
y1978	78
y1978	81
y1978	53
y1978	89
y1978	44
y1978	78
y1978	61
y1978	73
y1978	75
y1978	73
y1978	76
y1978	55
y1978	86
y1978	48
y1978	77
y1978	73
y1978	70
y1978	88
y1978	75
y1978	83
y1978	61
y1978	78
y1978	61
y1978	81
y1978	51
y1978	80
y1978	79
y1978	79
y2003	91
y2003	86
y2003	86
y2003	88
y2003	86
y2003	71
y2003	102
y2003	92
y2003	99
y2003	99
y2003	79
y2003	106
y2003	58
y2003	86
y2003	87
y2003	91
y2003	98
y2003	83
y2003	99
y2003	87
y2003	93
y2003	77
y2003	85
y2003	96
y2003	91
y2003	56
y2003	92
y2003	90
y2003	87
y2003	88
y2003	95
y2003	88
y2003	99
y2003	99
y2003	89
y2003	100
y2003	93
y2003	87
y2003	100
y2003	98
y2003	95
y2003	90
y2003	107
y2003	90
y2003	96
y2003	107
y2003	88
y2003	100
y2003	90
y2003	87
y2003	93
y2003	94
y2003	87
y2003	98
y2003	96
y2003	88
y2003	96
y2003	90
y2003	101
y2003	96
y2003	86
y2003	92
y2003	86
y2003	95
y2003	85
y2003	84
y2003	93
y2003	82
y2003	92
y2003	87
y2003	87
y2003	89
y2003	99
y2003	89
y2003	87
y2003	91
y2003	94
y2003	87
y2003	102
y2003	103
y2003	98
y2003	98
y2003	84
y2003	94
y2003	95
y2003	82
y2003	89
y2003	110
y2003	90
y2003	92
y2003	87
y2003	85
y2003	99
y2003	99
y2003	85
