Condition	Recall
After	7
After	5
After	5
After	5
After	2
After	8
After	5
After	5
After	5
After	5
After	5
After	3
After	8
After	5
After	5
After	5
After	6
After	6
After	7
Before	9
Before	7
Before	9
Before	5
Before	10
Before	11
Before	9
Before	8
Before	8
Before	6
Before	9
Before	7
Before	10
Before	8
Before	9
Before	8
Before	4
Before	10
Before	10
None	5
None	10
None	8
None	6
None	3
None	3
None	5
None	5
None	9
None	5
None	9
None	6
None	7
None	6
None	9
None	8
None	7
None	8
None	7
