part	height
soprano	64
soprano	62
soprano	66
soprano	65
soprano	60
soprano	61
soprano	65
soprano	66
soprano	65
soprano	63
soprano	67
soprano	65
soprano	62
soprano	65
soprano	68
soprano	65
soprano	63
soprano	65
soprano	62
soprano	65
soprano	66
soprano	62
soprano	65
soprano	63
soprano	65
soprano	66
soprano	65
soprano	62
soprano	65
soprano	66
soprano	65
soprano	61
soprano	65
soprano	66
soprano	65
soprano	62
alto	65
alto	62
alto	68
alto	67
alto	67
alto	63
alto	67
alto	66
alto	63
alto	72
alto	62
alto	61
alto	66
alto	64
alto	60
alto	61
alto	66
alto	66
alto	66
alto	62
alto	70
alto	65
alto	64
alto	63
alto	65
alto	69
alto	61
alto	66
alto	65
alto	61
alto	63
alto	64
alto	67
alto	66
alto	68
tenor	69
tenor	72
tenor	71
tenor	66
tenor	76
tenor	74
tenor	71
tenor	66
tenor	68
tenor	67
tenor	70
tenor	65
tenor	72
tenor	70
tenor	68
tenor	73
tenor	66
tenor	68
tenor	67
tenor	64
bass	72
bass	70
bass	72
bass	69
bass	73
bass	71
bass	72
bass	68
bass	68
bass	71
bass	66
bass	68
bass	71
bass	73
bass	73
bass	70
bass	68
bass	70
bass	75
bass	68
bass	71
bass	70
bass	74
bass	70
bass	75
bass	75
bass	69
bass	72
bass	71
bass	70
bass	71
bass	68
bass	70
bass	75
bass	72
bass	66
bass	72
bass	70
bass	69
