sleep	height
7	69
8.5	68
7	66
8	76
8	71
6.5	68
6	73
7.25	71
6.5	64
7	67
7.75	74
9	62
7	71
8.5	69
6	57
6	70
6.5	67
7.5	68
6.5	68
7.25	69
8	62
8	74
4	69
7	74
7.75	68
8	71
6.5	74
5.25	66
7	71
5	75
8.75	72
7.75	71
7	66
7	72.5
6	71
6	72
6.5	70
7.5	64
7.45	63
6.25	66.5
8	62
7.5	63
5.5	67
8	60
7	61
6	64
6.5	66
6	70
7	68
7.5	61
8	68
6	70
7	66
8	59
7	64
8.5	71
7.25	74
7	65
7	67
7.5	74
8	70
4.5	64
8	71
7	70
8	69
7	62
8	68
7	60
7.5	69
5.5	71
5.5	70
7.75	70
6	61
8	64
5	68
7	70
7.75	65
8.25	62
5.5	67
9	65
7	69
8.75	66
7.5	66
8	67
6.5	71
8	63
9.5	75
7.25	67
6	67
8	68
6.25	71
7.25	72
7	67
10	55
10	55
