Parents	Child
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
smokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
nonsmokers	girl
