Experimenter	Collision
male	yes
male	yes
male	yes
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	yes
male	yes
male	yes
male	yes
male	yes
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
female	yes
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	yes
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
male	yes
male	yes
male	yes
male	yes
male	yes
male	yes
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	no
female	yes
female	yes
female	no
female	no
female	yes
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	yes
female	yes
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
male	yes
male	yes
male	yes
male	yes
male	yes
male	no
male	no
male	no
male	no
male	no
male	no
male	no
male	yes
male	yes
male	yes
male	yes
male	yes
male	yes
male	yes
male	no
male	no
male	no
male	no
male	yes
male	yes
male	no
male	no
male	no
male	yes
male	yes
male	yes
male	yes
male	yes
male	yes
male	yes
male	yes
male	no
male	no
male	no
female	yes
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
female	no
