weight	haircut
135	30
150	22
105	10
170	18
165	21
175	10
176	0
133	15
130	90
180	23
115	28
145	9
160	6
145	8
135	35
155	16
125	16
150	40
165	30
140	0
185	25
170	11
165	23
140	50
195	0
135	20
165	13
190	7
170	30
140	13
137	40
152	0
145	5
150	160
170	20
173	30
122	35
148	80
123	20
125	35
130	0
97	130
108	20
120	120
145	0
160	6
207	12
110	37
180	8
150	10
156	40
140	75
135	35
145	100
150	10
127	30
150	35
175	35
160	0
102	40
160	12
145	35
175	40
105	35
135	50
120	15
185	30
156	16
150	15
144	20
120	13
118	50
160	5
155	20
164	17
155	50
125	160
113	40
150	15
112	30
135	40
125	12
120	85
120	85
160	12
160	0
200	8
130	30
220	15
120	95
190	20
165	20
160	18
