pieces	price
102	11.99
139	17.99
269	34.99
305	39.99
748	99.99
933	119.99
425	59.99
43	4.99
102	10.99
309	39.99
703	99.99
278	34.99
37	4.99
165	19.99
231	29.99
494	69.99
237	34.99
405	49.99
817	159.99
247	19.99
403	39.99
297	29.99
243	19.99
522	59.99
50	5.99
522	49.99
199	19.99
208	19.99
201	19.99
222	19.99
218	19.99
97	11.99
129	17.99
317	39.99
393	49.99
633	79.99
313	34.99
34	4.99
64	19.99
298	49.99
551	89.99
662	79.99
173	19.99
408	44.99
783	99.99
94	9.99
361	49.99
130	9.99
35	6.99
52	6.99
517	59.99
49	6.99
52	6.99
52	6.99
54	6.99
144	14.99
199	19.99
422	49.99
374	39.99
325	34.99
346	29.99
69	19.99
77	19.99
57	19.99
208	39.99
815	99.99
561	49.99
240	39.99
208	24.99
546	59.99
2276	199.99
363	34.99
270	39.99
83	12.99
227	19.99
257	29.99
430	59.99
776	79.99
1368	129.99
363	39.99
195	19.99
309	29.99
401	49.99
65	9.99
62	9.99
85	9.99
222	29.99
191	19.99
130	14.99
221	24.99
343	39.99
695	69.99
45	5.99
43	5.99
87	9.99
64	9.99
73	9.99
79	9.99
183	19.99
213	24.99
376	44.99
244	29.99
465	69.99
748	89.99
1094	119.99
403	49.99
1487	199.99
3803	399.99
3152	399.99
2127	179.99
331	39.99
318	49.99
768	89.99
85	12.99
68	12.99
139	19.99
241	24.99
389	49.99
389	59.99
214	24.99
155	29.99
479	69.99
808	89.99
1022	119.99
1254	139.99
163	24.99
98	12.99
77	12.99
137	19.99
132	19.99
413	54.99
560	59.99
300	39.99
458	49.99
2503	259.99
2025	149.99
64	4.99
153	19.99
442	39.99
1290	129.99
64	11.99
281	34.99
466	49.99
250	24.99
452	39.99
622	79.99
915	119.99
515	59.99
1174	119.99
86	6.99
188	14.99
243	24.99
327	29.99
286	39.99
452	49.99
684	79.99
415	49.99
