alcohol_drinks	smoked
0	0
2	0
0	0
3	0
3	0
0	0
3	0
0	0
0	0
3	0
16	0
1	0
15	0
10	1
3	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
3	0
0	0
4	0
8	0
0	0
0	0
10	4
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
30	60
0	0
1	0
0	0
0	0
1	0
0	0
6	1
0	0
4	0
0	0
0	0
4	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
15	0
2	0
6	0
0	0
0	0
0	0
2	0
0	0
0	0
3	0
1	0
0	0
1	0
0	0
0	0
8	4
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
17	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
25	12
0	0
0	0
1	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
5	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
15	0
6	0
25	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
3	0
0	0
6	0
2	60
40	1
0	0
0	0
0	0
0	0
1	0
12	0
14	0
0	0
0	0
4	0
9	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
4	0
1	0
0	0
0	0
50	0
16	3
2	0
0	0
0	0
0	0
25	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
0	0
0	0
11	3
0	0
0	0
0	0
6	0
0	0
0	0
12	1
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
7	0
3	0
47	2
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
2	0
0	0
0	0
0	0
11	6
0	0
40	0
1	0
0	0
0	0
0	0
0	0
2	1
0	0
4	0
4	0
1	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
10	2
0	0
0	0
0	0
0	0
5	5
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
3	0
0	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
4	0
0	0
0	0
0	0
0	0
6	0
1	0
0	0
7	1
8	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
6	2
0	0
4	0
0	0
0	0
2	0
2	0
0	0
0	0
7	0
7	0
0	0
1	0
0	0
0	1
4	4
1	0
0	0
0	0
0	0
25	2
0	0
0	0
0	0
0	0
8	30
4	0
0	0
0	0
14	0
0	0
0	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
5	0
3	23
0	0
5	0
1	0
5	0
0	0
4	0
0	0
0	0
1	0
0	0
8	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
5	0
10	0
0	0
3	0
0	0
0	0
2	0
0	0
5	0
4	0
0	0
1	0
0	0
8	0
0	0
0	0
7	0
0	0
0	0
10	40
