year	response
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2002	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2004	donated
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
2002	did.not
