pre_body_fat	post_body_fat
14.58	14.17
16.79	13.95
6.6	8.98
18.04	17.32
11.12	11.5
17.88	16.22
12.76	11.73
14.13	13.3
10.8	8.2
5.6	7.2
17.04	16.22
9.1	10.3
16.9	15
10.1	11.2
12.97	14
9.37	9.14
12.97	17.22
9.31	5.24
18.77	17.95
12.07	11.37
10.11	9.08
8.44	9
16	17.3
12.9	14.8
25.97	17.4
19.61	16.63
14	12.1
18	18
11.9	12.4
12	18
16.8	13.1
12.8	11.8
13.2	12.9
30.4	29.6
12.3	12.3
14.7	15.2
13.8	14.1
19.7	10.5
14.8	12.4
22.7	15.6
19.33	18.3
17.46	19.6
15.42	13.4
18	12.5
15.3	13
8.22	7.29
23.46	20.12
14	13.3
13.82	12.96
25	23.72
10.7	11.7
11.1	9.97
19.5	15.8
14	13.02
8.3	9.28
12.4	11.51
7.89	7.4
12.1	10.7
8.3	10.4
12.31	11.4
10	11.95
6.52	7.3
12.2	11.1
9.8	7.8
13.91	13.5
17.3	18.86
15.3	16.45
17.11	10.3
10.58	8.4
9.59	9.6
10.6	6.78
17.29	14.3
7.1	7.3
7.79	8
9.94	7.9
7.65	7.1
9.47	9.28
24.18	23.4
12.4	10.7
17.74	8.8
21	20.89
24.97	23.13
22.3	23.84
26.42	24.47
20	22.17
22.7	21.92
18.7	18.72
26.55	25.08
27.7	26.09
29	22.28
20	18
17.9	20.45
21	23.45
27.5	26.06
17	17.93
24	22.07
33.4	30.3
21	21.4
19	16.7
27.17	25.2
26.1	22.3
16	16
20.92	21.9
23	22.5
20.7	20.3
15.35	15.85
25.89	22.8
32.1	20.5
29.91	23.06
32.6	30.3
28.3	22.5
23.7	29.3
28.7	27.2
21.4	23.3
35.98	35.6
32.9	29.6
23.5	17.4
26.99	24.2
25	23.1
22.9	24.3
29.2	26.6
33.9	33.1
31.8	30
30.4	29.3
26.3	24.6
23.4	25.7
24.5	25.1
26.42	31.5
25.85	25.7
20.88	17.7
20.6	21.9
18.01	16.02
32.9	32.4
19.5	15.7
25.42	23.3
23.65	18.4
23.9	20.3
14.5	14
27.73	18.6
22.88	29.03
21.65	22.37
27	22.3
22.69	21.9
25.2	27.1
36.5	35.8
26.8	24.1
23	22.24
27.8	20.61
22.47	26.51
22.7	20.85
28.6	25.6
21.4	22.79
21.2	15.35
21.48	29.5
30	28.85
25.61	14.4
27.3	30.2
21	20.3
17.4	20.98
32.04	23.4
22.85	24.4
21.2	23.4
28.63	26.95
17.9	22
17.4	17.5
28.72	28.9
22.9	22.89
31.6	33.47
27.7	25.75
21.7	19.8
24.14	14.4
25.03	22.33
26.9	25.26
25.75	24.9
23.63	21.8
25.06	24.28
19.36	18
