shelves	sugar
High	6
High	14
High	6
High	14
High	15
High	1
High	9
High	14
High	9
High	8
High	14
High	9
High	6
High	11
High	8
High	17
High	14
High	13
High	0
High	3
High	7
High	8
High	15
High	20
High	14
High	5
High	5
High	0
High	10
High	6
High	8
High	14
High	14
High	17
High	6
High	12
High	3
High	10
High	12
High	8
Low	12
Low	13
Low	3
Low	19
Low	13
Low	12
Low	16
Low	13
Low	12
Low	12
Low	11
Low	2
Low	14
Low	15
Low	9
Low	15
Low	13
Low	13
Low	12
Low	11
Low	2
Low	13
Low	15
Low	13
Low	15
Low	13
Low	12
Low	14
Low	12
Low	16
Low	15
Low	13
Low	16
Low	2
Low	13
Low	10
Low	11
Low	16
Low	6
Low	10
