children	age
Had	91
Had	96
Had	89
Had	72
Had	95
Had	72
Had	82
Had	78
Had	51
Had	92
Had	56
Had	66
Had	55
Had	78
Had	88
Had	77
Had	65
Had	76
Had	95
Had	65
Had	52
Had	84
Had	72
Had	92
Had	40
Had	90
Had	75
Had	91
Had	62
Had	70
Had	82
Had	64
Had	87
Had	87
Had	90
Had	94
Had	58
Had	82
Had	93
Had	72
Had	85
Had	75
Had	91
Had	94
Had	92
Had	71
Had	66
Had	90
Had	50
Had	60
Had	36
Had	92
Had	88
Had	81
Had	88
Had	93
Had	77
Had	81
Had	70
Had	80
Had	83
Had	92
Had	87
Had	83
Had	87
Had	95
Had	95
Had	75
Had	92
Had	65
None	81
None	92
None	50
None	88
None	25
None	20
None	50
None	66
None	82
None	44
None	22
None	71
None	65
None	46
None	65
None	90
None	99
None	97
None	88
None	37

