degree	earnings
1:Some	20.1
1:Some	20.1
1:Some	22.1
1:Some	20.3
1:Some	20.4
1:Some	21.8
1:Some	22.3
1:Some	25.1
1:Some	26.5
1:Some	62.5
1:Some	43.3
1:Some	63.8
1:Some	23.8
1:Some	20.5
1:Some	50.3
1:Some	20.7
1:Some	20.1
1:Some	20.3
1:Some	34.5
1:Some	24
1:Some	76.9
1:Some	33.6
1:Some	41.4
1:Some	26.2
1:Some	76.8
1:Some	34.8
1:Some	39.8
1:Some	29.8
1:Some	24
1:Some	20.5
1:Some	20.5
1:Some	45.8
1:Some	20.1
1:Some	21.4
1:Some	20.2
1:Some	21.5
1:Some	23.4
1:Some	22.9
1:Some	30
1:Some	133.6
1:Some	21.8
1:Some	22.5
1:Some	34.1
1:Some	20.2
1:Some	22.1
1:Some	27.4
1:Some	22.3
1:Some	59.8
1:Some	20.2
1:Some	29.2
2:Associate	194.7
2:Associate	27.8
2:Associate	21.7
2:Associate	39.9
2:Associate	38.1
2:Associate	25.5
2:Associate	26.7
2:Associate	22.3
2:Associate	21.3
2:Associate	58.1
2:Associate	22.6
2:Associate	28.1
2:Associate	21.1
2:Associate	22.5
2:Associate	68.2
2:Associate	25.8
2:Associate	25.7
2:Associate	21.1
2:Associate	93.1
2:Associate	49.9
2:Associate	32.6
2:Associate	26.8
2:Associate	22.9
2:Associate	21.3
2:Associate	21.2
2:Associate	26.5
2:Associate	56.6
2:Associate	21.2
2:Associate	21.1
2:Associate	73.3
2:Associate	25.6
2:Associate	21.1
2:Associate	42.6
2:Associate	21.5
2:Associate	21.3
2:Associate	23.3
2:Associate	26.9
2:Associate	44.3
2:Associate	21.2
2:Associate	78.5
2:Associate	64.3
2:Associate	35
2:Associate	27.6
2:Associate	43.9
2:Associate	22.3
2:Associate	37.2
2:Associate	28.2
2:Associate	27.9
2:Associate	26
2:Associate	23.4
3:Bachelor	72.6
3:Bachelor	38.9
3:Bachelor	44.3
3:Bachelor	42.1
3:Bachelor	35
3:Bachelor	59
3:Bachelor	41.6
3:Bachelor	15.9
3:Bachelor	56.8
3:Bachelor	18.4
3:Bachelor	111.4
3:Bachelor	67
3:Bachelor	49.1
3:Bachelor	57
3:Bachelor	52.5
3:Bachelor	37.2
3:Bachelor	59.7
3:Bachelor	40.8
3:Bachelor	20.8
3:Bachelor	108.3
3:Bachelor	20.3
3:Bachelor	51.5
3:Bachelor	41.7
3:Bachelor	121.4
3:Bachelor	84
3:Bachelor	126.4
3:Bachelor	47.6
3:Bachelor	55.9
3:Bachelor	109.9
3:Bachelor	34.1
3:Bachelor	19.4
3:Bachelor	60.7
3:Bachelor	40.3
3:Bachelor	42.9
3:Bachelor	104
3:Bachelor	38.7
3:Bachelor	59.7
3:Bachelor	30.1
3:Bachelor	22.7
3:Bachelor	59.1
3:Bachelor	24.8
3:Bachelor	65.4
3:Bachelor	161.6
3:Bachelor	68.6
3:Bachelor	22.5
3:Bachelor	53
3:Bachelor	86.5
3:Bachelor	30.4
3:Bachelor	33.8
3:Bachelor	14.7
4:Master	73
4:Master	38.5
4:Master	34.6
4:Master	44
4:Master	67.1
4:Master	89.9
4:Master	30.7
4:Master	69.8
4:Master	70.3
4:Master	111.6
4:Master	26.2
4:Master	130.6
4:Master	39.4
4:Master	42.8
4:Master	48.9
4:Master	87.1
4:Master	100.4
4:Master	38.1
4:Master	44
4:Master	37.3
4:Master	151.2
4:Master	25.8
4:Master	75.5
4:Master	44
4:Master	57.2
4:Master	61.1
4:Master	62.3
4:Master	48.7
4:Master	108.4
4:Master	146.1
4:Master	119
4:Master	24.2
4:Master	28.1
4:Master	58.9
4:Master	17
4:Master	69.9
4:Master	96.9
4:Master	167.9
4:Master	51.1
4:Master	103.7
4:Master	159
4:Master	46
4:Master	61
4:Master	26
4:Master	23.3
4:Master	59.1
4:Master	36.6
4:Master	73.1
4:Master	51.7
4:Master	22.8
5:Doctorate	86.6
5:Doctorate	72.3
5:Doctorate	107.3
5:Doctorate	82.3
5:Doctorate	167.1
5:Doctorate	69.7
5:Doctorate	41.6
5:Doctorate	237.8
5:Doctorate	73.7
5:Doctorate	87.9
5:Doctorate	88
5:Doctorate	118.1
5:Doctorate	64.7
5:Doctorate	78.4
5:Doctorate	115.5
5:Doctorate	135.2
5:Doctorate	72.3
5:Doctorate	73.6
5:Doctorate	96.8
5:Doctorate	64.6
5:Doctorate	122.2
5:Doctorate	78.5
5:Doctorate	133.5
5:Doctorate	71.1
5:Doctorate	114.3
5:Doctorate	78.3
5:Doctorate	141.1
5:Doctorate	69.9
5:Doctorate	95.3
5:Doctorate	69.6
5:Doctorate	71.3
5:Doctorate	64
5:Doctorate	180.6
5:Doctorate	86.3
5:Doctorate	60.6
5:Doctorate	92.9
5:Doctorate	180.2
5:Doctorate	57.2
5:Doctorate	59
5:Doctorate	87.2
5:Doctorate	48.9
5:Doctorate	204.8
5:Doctorate	94.6
5:Doctorate	100.4
5:Doctorate	114.9
5:Doctorate	129.1
5:Doctorate	96.4
5:Doctorate	67.3
5:Doctorate	69.6
5:Doctorate	97.5
