gender	pre	post
male	21.00	21.50
male	21.00	21.25
male	21.50	20.00
male	23.00	23.38
male	21.00	21.00
male	20.50	20.75
male	22.88	23.75
male	22.50	21.50
male	16.50	17.25
male	16.00	17.25
male	22.00	23.75
male	20.00	21.00
male	21.00	21.25
male	22.00	22.75
male	21.25	21.50
male	18.00	19.50
male	19.00	21.00
male	17.50	19.25
male	16.00	14.75
male	17.00	18.00
male	22.50	22.25
male	20.25	19.25
male	15.75	16.75
male	21.00	20.00
male	21.75	21.50
male	23.50	24.00
male	19.50	18.00
male	14.75	16.50
male	12.25	16.50
male	15.00	16.25
male	21.88	22.50
male	23.38	23.00
male	18.75	19.75
male	19.63	19.88
male	22.63	24.00
male	21.13	23.00
male	21.25	21.00
male	22.25	21.50
male	17.38	18.25
male	14.75	16.00
male	19.25	19.50
male	28.25	24.50
male	20.25	20.75
male	13.13	15.00
male	23.50	24.50
male	18.50	19.50
male	20.50	21.50
male	14.25	14.25
male	21.00	22.00
male	23.00	23.00
male	18.00	21.50
male	25.00	25.13
male	16.00	15.00
male	19.75	19.75
male	18.75	20.00
male	24.50	24.00
male	14.88	16.00
male	25.13	25.25
male	20.63	20.00
male	20.00	20.50
male	17.50	18.50
male	23.38	21.00
male	20.00	20.75
male	19.25	20.00
male	14.25	15.50
male	19.00	21.00
male	21.00	21.75
male	13.00	17.25
male	18.75	19.25
male	16.50	17.50
male	15.88	19.50
male	22.63	23.38
male	18.63	19.00
male	23.13	22.00
male	17.00	18.25
male	20.13	21.25
male	19.00	19.25
male	16.63	17.00
male	17.88	18.75
male	16.00	17.00
male	20.75	21.25
female	21.88	21.25
female	23.75	24.00
female	25.38	25.25
female	18.50	17.38
female	23.00	21.38
female	22.00	21.25
female	22.25	21.63
female	20.50	19.38
female	18.50	19.63
female	18.50	19.13
female	24.00	23.75
female	22.00	21.00
female	22.75	21.25
female	20.50	21.00
female	21.75	21.25
female	23.38	23.50
female	14.00	12.75
female	21.00	20.75
female	22.50	22.75
female	20.00	20.75
female	20.00	20.75
female	21.50	20.00
female	23.50	23.00
female	23.25	22.50
female	22.50	23.00
female	23.25	23.25
female	21.75	21.75
female	15.75	17.00
female	18.00	19.00
female	23.00	24.50
female	21.50	22.00
female	23.75	23.00
female	22.50	24.00
female	21.75	21.50
female	20.50	21.00
female	23.00	24.00
female	25.00	27.00
female	22.25	22.50
female	20.50	21.50
female	22.00	22.50
female	21.25	22.00
female	20.00	21.50
female	20.25	21.00
female	21.50	21.75
female	25.13	25.50
female	17.25	18.25
female	21.38	22.00
female	19.88	19.25
female	22.00	22.50
female	19.25	20.75
female	22.50	21.50
female	21.75	21.25
female	21.50	21.75
female	20.50	21.00
female	19.38	18.25
female	20.38	20.25
female	19.13	19.75
female	16.88	21.50
female	20.00	21.25
female	18.00	18.00
female	21.13	21.00
female	22.50	21.63
female	22.00	22.63
female	23.50	23.50
female	13.88	16.50
female	23.25	23.50
female	19.50	19.50
female	22.00	23.00
female	20.13	20.00
female	21.00	22.75
female	22.88	22.50
female	22.50	22.50
female	22.50	23.50
female	23.75	32.50
female	23.50	23.38
female	18.50	20.25
female	21.88	22.00
female	22.00	21.50
female	21.25	23.50
female	23.00	23.00
female	20.75	21.75
female	13.25	14.75
female	21.13	22.00
female	18.50	19.00
female	21.00	19.50
female	21.50	18.50
female	22.13	22.50
female	13.00	13.00
female	21.50	21.50
female	19.63	20.50
female	22.50	22.75
female	19.25	19.50
female	22.88	23.50
female	23.38	24.00
female	24.50	24.38
female	23.00	23.50
female	21.75	23.25
female	22.13	22.50
