sex	post_flexibility
male	21.5
male	21.25
male	20
male	23.38
male	21
male	20.75
male	23.75
male	21.5
male	17.25
male	17.25
male	23.75
male	21
male	21.25
male	22.75
male	21.5
male	19.5
male	21
male	19.25
male	14.75
male	18
male	22.25
male	19.25
male	16.75
male	20
male	21.5
male	24
male	18
male	16.5
male	16.5
male	16.25
male	22.5
male	23
male	19.75
male	19.88
male	24
male	23
male	21
male	21.5
male	18.25
male	16
male	19.5
male	24.5
male	20.75
male	15
male	24.5
male	19.5
male	21.5
male	14.25
male	22
male	23
male	21.5
male	25.13
male	15
male	19.75
male	20
male	24
male	16
male	25.25
male	20
male	20.5
male	18.5
male	21
male	20.75
male	20
male	15.5
male	21
male	21.75
male	17.25
male	19.25
male	17.5
male	19.5
male	23.38
male	19
male	22
male	18.25
male	21.25
male	19.25
male	17
male	18.75
male	17
male	21.25
female	21.25
female	24
female	25.25
female	17.38
female	21.38
female	21.25
female	21.63
female	19.38
female	19.63
female	19.13
female	23.75
female	21
female	21.25
female	21
female	21.25
female	23.5
female	12.75
female	20.75
female	22.75
female	20.75
female	20.75
female	20
female	23
female	22.5
female	23
female	23.25
female	21.75
female	17
female	19
female	24.5
female	22
female	23
female	24
female	21.5
female	21
female	24
female	27
female	22.5
female	21.5
female	22.5
female	22
female	21.5
female	21
female	21.75
female	25.5
female	18.25
female	22
female	19.25
female	22.5
female	20.75
female	21.5
female	21.25
female	21.75
female	21
female	18.25
female	20.25
female	19.75
female	21.5
female	21.25
female	18
female	21
female	21.63
female	22.63
female	23.5
female	16.5
female	23.5
female	19.5
female	23
female	20
female	22.75
female	22.5
female	22.5
female	23.5
female	32.5
female	23.38
female	20.25
female	22
female	21.5
female	23.5
female	23
female	21.75
female	14.75
female	22
female	19
female	19.5
female	18.5
female	22.5
female	13
female	21.5
female	20.5
female	22.75
female	19.5
female	23.5
female	24
female	24.38
female	23.5
female	23.25
female	22.5
