sex	pre_flexibility
male	21
male	21
male	21.5
male	23
male	21
male	20.5
male	22.88
male	22.5
male	16.5
male	16
male	22
male	20
male	21
male	22
male	21.25
male	18
male	19
male	17.5
male	16
male	17
male	22.5
male	20.25
male	15.75
male	21
male	21.75
male	23.5
male	19.5
male	14.75
male	12.25
male	15
male	21.88
male	23.38
male	18.75
male	19.63
male	22.63
male	21.13
male	21.25
male	22.25
male	17.38
male	14.75
male	19.25
male	28.25
male	20.25
male	13.13
male	23.5
male	18.5
male	20.5
male	14.25
male	21
male	23
male	18
male	25
male	16
male	19.75
male	18.75
male	24.5
male	14.88
male	25.13
male	20.63
male	20
male	17.5
male	23.38
male	20
male	19.25
male	14.25
male	19
male	21
male	13
male	18.75
male	16.5
male	15.88
male	22.63
male	18.63
male	23.13
male	17
male	20.13
male	19
male	16.63
male	17.88
male	16
male	20.75
female	21.88
female	23.75
female	25.38
female	18.5
female	23
female	22
female	22.25
female	20.5
female	18.5
female	18.5
female	24
female	22
female	22.75
female	20.5
female	21.75
female	23.38
female	14
female	21
female	22.5
female	20
female	20
female	21.5
female	23.5
female	23.25
female	22.5
female	23.25
female	21.75
female	15.75
female	18
female	23
female	21.5
female	23.75
female	22.5
female	21.75
female	20.5
female	23
female	25
female	22.25
female	20.5
female	22
female	21.25
female	20
female	20.25
female	21.5
female	25.13
female	17.25
female	21.38
female	19.88
female	22
female	19.25
female	22.5
female	21.75
female	21.5
female	20.5
female	19.38
female	20.38
female	19.13
female	16.88
female	20
female	18
female	21.13
female	22.5
female	22
female	23.5
female	13.88
female	23.25
female	19.5
female	22
female	20.13
female	21
female	22.88
female	22.5
female	22.5
female	23.75
female	23.5
female	18.5
female	21.88
female	22
female	21.25
female	23
female	20.75
female	13.25
female	21.13
female	18.5
female	21
female	21.5
female	22.13
female	13
female	21.5
female	19.63
female	22.5
female	19.25
female	22.88
female	23.38
female	24.5
female	23
female	21.75
female	22.13
