GilbertWorked	patient
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
Yes	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
No	Death
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
Yes	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
No	NoDeath
