sex	cost
Female	50
Male	20
Female	60
Male	75
Female	150
Male	23
Female	15
Female	90
Female	20
Female	110
Female	0
Female	40
Female	35
Male	20
Female	30
Female	50
Female	70
Female	50
Female	75
Female	150
Female	35
Female	45
Female	70
Female	50
Male	15
Female	20
Female	150
Female	45
Male	0
Male	22
Male	15
Female	65
Female	120
Female	45
Female	15
Female	25
Female	0
Male	20
Female	35
Female	120
Female	45
Female	30
Female	55
Female	0
Male	0
Female	15
Male	0
Male	14
Male	60
Female	20
