level	assissts
1	9
1	25
1	9
1	9
1	12
1	8
1	9
1	22
1	5
1	4
1	3
1	16
1	4
1	2
1	8
1	20
1	9
1	13
1	14
1	6
1	4
1	11
1	4
1	9
1	6
1	22
1	5
1	6
1	3
1	5
2	12
2	9
2	5
2	7
2	7
2	20
2	9
2	20
2	4
2	4
2	4
2	5
2	7
2	15
2	12
2	7
2	7
2	16
2	5
2	8
2	11
2	10
2	11
2	2
2	4
2	9
2	4
2	4
2	2
2	8
2	2
3	17
3	8
3	13
3	11
3	10
3	9
3	27
3	3
3	4
3	17
3	2
3	7
3	9
3	10
3	8
3	12
3	7
3	10
3	15
3	8
3	15
3	14
3	14
3	14
3	10
3	12
3	6
3	15
3	17
3	7
3	2
