Level	Deaths
1	17
1	19
1	19
1	19
1	29
1	11
1	24
1	9
1	11
1	22
1	15
1	25
1	9
1	10
1	11
1	7
1	9
1	19
1	26
1	20
1	13
1	15
1	11
1	13
1	10
1	19
1	14
1	14
1	9
1	9
2	21
2	21
2	15
2	11
2	11
2	8
2	17
2	15
2	5
2	10
2	9
2	12
2	14
2	10
2	11
2	13
2	27
2	15
2	14
2	10
2	21
2	13
2	20
2	16
2	11
2	13
2	10
2	10
2	3
2	19
2	13
3	29
3	21
3	24
3	8
3	14
3	7
3	22
3	7
3	11
3	21
3	12
3	18
3	13
3	15
3	27
3	25
3	12
3	24
3	37
3	26
3	19
3	27
3	26
3	10
3	20
3	12
3	20
3	21
3	10
3	13
3	9
