level	medals
1	9
1	8
1	11
1	11
1	12
1	2
1	8
1	8
1	4
1	11
1	3
1	12
1	3
1	9
1	13
1	7
1	15
1	16
1	16
1	21
1	7
1	7
1	12
1	19
1	3
1	6
1	4
1	15
1	15
1	7
2	5
2	9
2	5
2	6
2	6
2	11
2	10
2	6
2	6
2	7
2	11
2	6
2	2
2	5
2	12
2	12
2	14
2	20
2	12
2	4
2	8
2	13
2	16
2	9
2	15
2	9
2	27
2	9
2	16
2	6
2	6
3	10
3	8
3	6
3	5
3	3
3	4
3	6
3	6
3	0
3	2
3	4
3	1
3	7
3	6
3	1
3	5
3	4
3	14
3	12
3	7
3	15
3	9
3	14
3	1
3	7
3	11
3	19
3	10
3	5
3	21
3	4
