BMI	height
19.90	69
22.80	68
16.90	66
20.70	76
23	71
22	68
23.10	73
24.50	71
22.80	64
20.40	67
23.10	74
21	62
20.20	71
23.60	69
31.40	57
19.40	70
24.30	67
19	68
22.80	68
24.40	69
25.60	62
23.80	74
25.10	69
21.20	74
21.30	68
27.20	71
21.80	66
23	71
23.70	75
23.10	72
19.50	71
22.10	66
20.30	72.50
20.20	71
20.30	72
24.40	70
29.70	64
21.60	63
23.50	66.50
22.50	62
22.10	63
20.40	67
18.90	60
20.40	61
20.60	64
23.40	66
23	70
31.50	68
20.80	61
27.40	68
21.50	70
25.20	66
28.30	59
23.20	64
20.20	71
19.30	74
21.10	65
23.50	67
22.50	74
23	70
17.50	64
22.30	71
20.80	70
25.80	69
19.20	62
20.50	68
23.40	60
27.30	69
21.80	71
21.50	70
20.70	70
22.70	61
20.30	64
24.30	68
22.20	70
27.30	65
28.30	62
19.60	67
18.80	65
22.10	69
18.10	66
21.80	66
19.60	67
27.90	55
27.90	55
22.30	71
28.30	63
25	75
20.40	67
34.50	67
18.20	68
26.50	71
22.40	72
25.10	67
