Distance	Time
0.6	20
1	30
2.5	60
4	120
2.5	90
2	60
3.8	120
4.6	150
1.5	45
1	40
5.8	180
2.2	90
1.5	60
2.5	90
4	150
3.5	90
2.6	90
1.8	60
2	60
2.5	60
3.2	90
1.5	60
1	30
2	60
9.5	300
2.6	90
4.6	120
6	180
2.1	60
5.5	180
4	120
3.4	90
5	150
3	90
2.5	90
3.2	90
4.5	120
3	90
1.5	45
2	60
0.8	30
3	90
3	90
5.5	150
2.8	90
5.6	150
7	180
6	180
3.2	90
2.6	90
4	120
5	150
6	180
7.4	420
2	60
5.6	150
2	60
1	30
1.5	60
1.5	60
2	60
1.8	60
3.4	90
5	150
1.5	60
7	180
1	30
3	90
4	120
6	180
2.2	60
2	60
