elevationGain	time
150	20
300	30
50	60
200	120
0	90
0	60
50	120
400	150
100	45
0	40
0	180
0	90
200	60
640	90
1650	150
0	90
540	90
200	60
320	60
350	60
300	90
100	60
0	30
100	60
50	300
50	90
1000	120
300	180
250	60
1300	180
1150	120
0	90
200	150
300	90
300	90
520	90
950	120
1100	90
0	45
400	60
70	30
700	90
300	90
700	150
200	90
900	150
850	180
900	180
230	90
500	90
600	120
200	150
250	180
440	420
120	60
150	150
70	60
50	30
0	60
0	60
100	60
420	60
150	90
450	150
120	60
650	180
100	30
350	90
600	120
250	180
0	60
50	60
