fish	mercuryLevel
orangeroughy	0.7063
orangeroughy	0.7762
orangeroughy	0.8537
orangeroughy	0.824
orangeroughy	0.6095
orangeroughy	0.4555
orangeroughy	0.8581
orangeroughy	0.6763
orangeroughy	0.602
orangeroughy	0.7947
orangeroughy	0.5255
orangeroughy	0.6161
orangeroughy	0.5865
orangeroughy	0.2183
orangeroughy	0.5289
orangeroughy	0.7203
orangeroughy	0.6466
orangeroughy	0.4985
orangeroughy	0.7708
orangeroughy	0.2298
orangeroughy	0.6177
orangeroughy	0.7395
orangeroughy	0.7932
orangeroughy	0.7717
orangeroughy	0.5088
orangeroughy	0.7226
orangeroughy	0.5326
orangeroughy	0.6197
orangeroughy	0.5571
orangeroughy	0.261
orangeroughy	0.5852
orangeroughy	0.4571
orangeroughy	0.5463
orangeroughy	0.5781
orangeroughy	0.4003
orangeroughy	0.5483
orangeroughy	0.2279
orangeroughy	0.8263
orangeroughy	0.6284
orangeroughy	0.6008
orangeroughy	0.8841
orangeroughy	0.6012
orangeroughy	0.9805
orangeroughy	0.5518
orangeroughy	0.4838
orangeroughy	0.653
orangeroughy	0.3257
orangeroughy	0.2422
orangeroughy	0.6739
orangeroughy	0.4571
orangeroughy	0.6611
orangeroughy	0.3766
orangeroughy	0.5782
orangeroughy	0.79
orangeroughy	0.5358
orangeroughy	0.1062
orangeroughy	0.7031
orangeroughy	0.2791
orangeroughy	0.4053
orangeroughy	0.6536
orangeroughy	0.7541
orangeroughy	0.4665
orangeroughy	0.5616
orangeroughy	0.5484
orangeroughy	0.6777
orangeroughy	0.5324
orangeroughy	0.5606
orangeroughy	0.1506
orangeroughy	0.3589
orangeroughy	0.4373
orangeroughy	0.7823
orangeroughy	0.5303
orangeroughy	0.7683
orangeroughy	0.3213
orangeroughy	0.808
orangeroughy	0.3947
orangeroughy	0.6723
orangeroughy	0.4249
orangeroughy	0.5837
orangeroughy	0.3086
orangeroughy	0.8477
orangeroughy	0.5326
orangeroughy	1.0253
orangeroughy	0.5919
orangeroughy	0.1811
orangeroughy	0.4928
orangeroughy	0.3201
orangeroughy	0.623
orangeroughy	0.8414
orangeroughy	0.5065
orangeroughy	0.8996
orangeroughy	0.4918
orangeroughy	0.4984
orangeroughy	0.7058
orangeroughy	0.7058
orangeroughy	0.5011
orangeroughy	0.7782
orangeroughy	0.7936
orangeroughy	0.5044
orangeroughy	0.602
orangeroughy	0.5582
orangeroughy	0.6295
orangeroughy	0.5008
orangeroughy	0.7753
orangeroughy	0.3799
orangeroughy	0.7084
orangeroughy	0.3566
orangeroughy	0.7415
orangeroughy	0.6205
orangeroughy	0.3801
orangeroughy	0.5474
orangeroughy	0.7746
orangeroughy	0.4354
orangeroughy	0.8743
orangeroughy	0.8781
orangeroughy	0.353
orangeroughy	0.6287
orangeroughy	0.5504
orangeroughy	0.4808
orangeroughy	0.5257
orangeroughy	0.3326
orangeroughy	0.8476
orangeroughy	0.2987
orangeroughy	0.8565
orangeroughy	0.4777
orangeroughy	0.6534
orangeroughy	0.66
orangeroughy	0.5589
orangeroughy	0.5212
orangeroughy	0.233
orangeroughy	0.7386
orangeroughy	0.8631
orangeroughy	0.8425
orangeroughy	0.4252
orangeroughy	0.5845
orangeroughy	0.6759
orangeroughy	0.6904
orangeroughy	0.6468
orangeroughy	0.5232
orangeroughy	0.5415
orangeroughy	0.4403
orangeroughy	0.6517
orangeroughy	0.9348
orangeroughy	0.1409
orangeroughy	0.5103
orangeroughy	0.6475
orangeroughy	0.5134
orangeroughy	0.5757
orangeroughy	0.4649
orangeroughy	0.4999
orangeroughy	0.6128
orangeroughy	0.2557
orangeroughy	0.6543
orangeroughy	0.9351
orangeroughy	0.3034
orangeroughy	0.2577
orangeroughy	0.2763
orangeroughy	0.4753
orangeroughy	0.5764
orangeroughy	0.9177
orangeroughy	0.5107
orangeroughy	0.4083
orangeroughy	0.6666
orangeroughy	0.4906
orangeroughy	0.4246
orangeroughy	0.3648
orangeroughy	0.5864
orangeroughy	0.78
orangeroughy	0.2396
orangeroughy	0.502
orangeroughy	0.7247
orangeroughy	0.8094
orangeroughy	0.7714
orangeroughy	1
orangeroughy	1.0883
orangeroughy	0.5485
orangeroughy	0.7524
orangeroughy	0.6132
orangeroughy	0.7404
orangeroughy	0.5041
orangeroughy	0.4927
orangeroughy	0.6386
orangeroughy	0.6113
orangeroughy	0.172
orangeroughy	0.4683
orangeroughy	0.6912
orangeroughy	0.6717
orangeroughy	0.6527
orangeroughy	0.3661
orangeroughy	0.6391
orangeroughy	0.7646
orangeroughy	1.0269
orangeroughy	0.2895
orangeroughy	0.5699
orangeroughy	0.5935
orangeroughy	0.4491
orangeroughy	0.6607
orangeroughy	0.7738
orangeroughy	0.6409
orangeroughy	0.7677
orangeroughy	0.8088
orangeroughy	0.6038
orangeroughy	0.634
orangeroughy	0.7348
orangeroughy	0.257
orangeroughy	0.7185
orangeroughy	0.3312
orangeroughy	0.719
orangeroughy	0.3548
orangeroughy	0.4907
orangeroughy	0.3277
orangeroughy	0.7354
orangeroughy	0.5038
orangeroughy	0.5629
orangeroughy	0.745
orangeroughy	0.9134
orangeroughy	0.6085
orangeroughy	0.571
orangeroughy	0.8501
orangeroughy	0.5474
orangeroughy	0.8145
orangeroughy	0.559
orangeroughy	0.7515
orangeroughy	0.2319
orangeroughy	0.6248
orangeroughy	0.881
orangeroughy	0.7481
orangeroughy	0.7706
bass	0.0582
bass	0.3031
bass	0.3283
bass	0.1731
bass	0.1748
bass	0.3077
bass	0.1984
bass	0.162
bass	0.3841
bass	0.2584
bass	0.1313
bass	0.1262
bass	0.0931
bass	0.1239
bass	0.1052
bass	0.1368
bass	0.2796
bass	0.2203
bass	0.1142
bass	0.2366
bass	0.2853
bass	0.2153
bass	0.0365
bass	0.1661
bass	0.1725
bass	0
bass	0.0452
bass	0.2287
bass	0.267
bass	0
bass	0.3799
bass	0
bass	0.2648
bass	0.233
bass	0.1363
bass	0.5191
bass	0.2528
bass	0.8357
bass	0.4311
bass	0.14
bass	0.3826
bass	0.4386
bass	0.0642
bass	0.0368
bass	0
bass	0.1829
bass	0.2952
bass	0.14
bass	0
bass	0.0103
bass	0
bass	0.2001
bass	0
bass	0.4425
bass	0.1879
bass	0.2513
bass	0
bass	0.0012
bass	0.0298
bass	0.1074
bass	0
bass	0.1976
bass	0.0039
bass	0.1629
bass	0.2923
bass	0.1675
bass	0.5362
bass	0.0038
bass	0.1288
bass	0.0331
bass	0
bass	0.4832
bass	0.4862
bass	0.0952
bass	0.2485
bass	0.0716
bass	0.0321
bass	0.0003
bass	0.051
bass	0
bass	0.0547
bass	0.1516
bass	0.2192
bass	0
bass	0
bass	0
bass	0.264
bass	0.1367
bass	0.1359
bass	0.3636
bass	0.299
bass	0.1227
bass	0.1661
bass	0.3525
bass	0.0316
bass	0.1594
bass	0.0254
bass	0
bass	0.2174
bass	0.5568
bass	0.4497
bass	0.2015
bass	0.3863
bass	0.2351
bass	0
bass	0.1951
bass	0.1597
bass	0.3169
bass	0.0632
bass	0.4068
bass	0
bass	0.0847
bass	0.2224
bass	0.0564
bass	0
bass	0
bass	0
bass	0.0645
bass	0.1029
bass	0.3884
bass	0.4554
bass	0.1066
bass	0.0723
bass	0
bass	0.1849
bass	0
bass	0.3608
bass	0.4868
bass	0.1581
bass	0.0214
bass	0.2377
bass	0.5675
bass	0.0787
bass	0
bass	0
bass	0.3175
bass	0.1449
bass	0.2203
bass	0.4018
bass	0.1116
bass	0.0136
bass	0.617
bass	0.0945
bass	0.1439
bass	0.023
bass	0
bass	0.2082
bass	0.1062
bass	0.2972
bass	0.0327
bass	0.2336
bass	0.0984
bass	0
bass	0.3403
bass	0
bass	0.2795
bass	0.2993
bass	0.1874
bass	0.3449
bass	0.096
bass	0.0067
bass	0.0735
bass	0.0958
bass	0
bass	0
bass	0.0916
bass	0
bass	0
bass	0.4582
bass	0.0813
bass	0.3543
bass	0.0354
bass	0.1179
bass	0.2412
bass	0.1393
bass	0.4358
bass	0
bass	0.0999
bass	0
bass	0.0017
bass	0
bass	0.0444
bass	0.0956
bass	0.1828
bass	0.3962
bass	0.043
bass	0.2188
bass	0
bass	0.223
bass	0.0978
bass	0
bass	0
bass	0
bass	0
bass	0.5282
bass	0.1308
bass	0.0509
bass	0.1316
bass	0.1721
bass	0.4063
bass	0.1283
bass	0.2135
bass	0.302
bass	0.0981
bass	0.2438
bass	0.1335
bass	0
bass	0.104
bass	0.2911
bass	0.1208
bass	0.2523
bass	0.0391
bass	0.3124
bass	0.1905
bass	0.4491
bass	0
bass	0.4482
bass	0.1831
bass	0.1073
bass	0.2125
bass	0.4623
bass	0.4113
bass	0.1351
bass	0.2971
bass	0.0002
bass	0.7494
bass	0.3281
bass	0.2847
halibut	0.1846
halibut	0.1975
halibut	0.1813
halibut	0
halibut	0.1932
halibut	0.1469
halibut	0.1545
halibut	0.1227
halibut	0.2715
halibut	0.507
halibut	0.0634
halibut	0
halibut	0.1884
halibut	0.4113
halibut	0.3971
halibut	0.1411
halibut	0.5855
halibut	0.4161
halibut	0.6806
halibut	0.0566
halibut	0.2012
halibut	0.5613
halibut	0.1523
halibut	0.4562
halibut	0
halibut	0.0263
halibut	0
halibut	0.1693
halibut	0.2563
halibut	0.3974
halibut	0.2951
halibut	0.1312
halibut	0
halibut	0.301
halibut	0.6178
halibut	0.0284
halibut	0.3656
halibut	0.155
halibut	0.6742
halibut	0.0332
halibut	0.2103
halibut	0.3987
halibut	0.6189
halibut	0.2914
halibut	0.1552
halibut	0.0551
halibut	0.2685
halibut	0
halibut	0.2831
halibut	0.4059
halibut	0.2628
halibut	0.0189
halibut	0.0342
halibut	0.4196
halibut	0.1825
halibut	0.5393
halibut	0
halibut	0.1039
halibut	0.2505
halibut	0.0622
halibut	0.0396
halibut	0.5377
halibut	0.529
halibut	0.1504
halibut	0
halibut	0.3051
halibut	0.4482
halibut	0
halibut	0.1583
halibut	0.592
halibut	0.3991
halibut	0.0702
halibut	0.1754
halibut	0.5524
halibut	0.5827
halibut	0.4848
halibut	0
halibut	0.2856
halibut	0.1004
halibut	0.6284
halibut	0
halibut	0
halibut	0.2771
halibut	0.0095
halibut	0
halibut	0.5132
halibut	0.3576
halibut	0.331
halibut	0.3751
halibut	0.1696
halibut	0.2185
halibut	0
halibut	0.491
halibut	0.4942
halibut	0
halibut	0
halibut	0.0452
halibut	0
halibut	0.3742
halibut	0
halibut	0.4246
halibut	0.0543
halibut	0.4712
halibut	0.1788
halibut	0.395
halibut	0.1738
halibut	0.0104
halibut	0.4205
halibut	0
halibut	0.1531
halibut	0.2533
halibut	0.0279
halibut	0.2781
halibut	0.0245
halibut	0
halibut	0.1211
halibut	0.3689
halibut	0.5739
halibut	0.0497
halibut	0.0034
halibut	0.1645
halibut	0.6458
halibut	0.4357
halibut	0.2813
halibut	0.7608
halibut	0.0406
halibut	0
halibut	0.3863
halibut	0.0628
halibut	0.3788
halibut	0.2528
halibut	0.4293
halibut	0.1847
halibut	0.546
halibut	0.3899
halibut	0.1736
halibut	0.5255
halibut	0.6382
halibut	0.0016
halibut	0.2313
halibut	0.2718
halibut	0.3893
halibut	0.4247
halibut	0.2042
halibut	0.0072
halibut	0
halibut	0.1947
halibut	0.3487
halibut	0.4946
