eruptionType	timeBetween
short	55
short	58
short	56
short	50
short	51
short	60
short	51
short	42
short	51
short	45
short	51
short	55
short	54
short	44
short	61
short	55
short	53
short	43
short	58
short	49
short	52
short	53
short	51
short	49
short	57
short	51
short	61
short	56
short	52
short	49
short	54
short	62
short	51
short	55
short	53
short	48
short	51
short	47
short	45
short	51
short	51
short	63
short	52
short	54
short	54
short	61
short	48
short	62
short	58
short	51
short	57
short	57
short	51
short	51
short	50
short	53
short	67
short	51
short	66
short	61
short	59
short	67
short	61
short	56
short	78
short	60
short	60
short	72
short	57
short	79
short	53
short	76
short	66
short	62
short	75
short	86
long	80
long	82
long	73
long	81
long	86
long	71
long	69
long	73
long	67
long	79
long	72
long	77
long	83
long	84
long	86
long	72
long	75
long	75
long	60
long	75
long	72
long	74
long	80
long	82
long	73
long	83
long	68
long	76
long	90
long	75
long	71
long	70
long	82
long	75
long	71
long	75
long	70
long	77
long	78
long	74
long	71
long	84
long	91
long	70
long	76
long	78
long	70
long	88
long	83
long	79
long	82
long	66
long	77
long	77
long	75
long	77
long	80
long	77
long	75
long	86
long	76
long	81
long	80
long	84
long	68
long	83
long	73
long	89
long	76
long	75
long	69
long	74
long	77
long	89
long	82
long	73
long	83
long	80
long	78
long	78
long	81
long	83
long	73
long	72
long	74
long	81
long	75
long	73
long	75
long	81
long	80
long	83
long	76
long	84
long	86
long	81
long	76
long	82
long	84
long	82
long	71
long	70
long	79
long	74
long	82
long	85
long	80
long	83
long	75
long	95
long	80
long	78
long	78
long	84
long	77
long	86
long	69
long	75
long	93
long	88
long	73
long	82
long	76
long	73
long	87
long	75
long	80
long	90
long	84
long	80
long	90
long	88
long	80
long	91
long	82
long	81
long	94
long	80
long	80
long	84
long	76
long	76
long	81
long	81
long	91
long	84
