refs	duration
replacement	173
replacement	215
replacement	180
replacement	188
replacement	205
replacement	215
replacement	222
replacement	205
replacement	172
replacement	179
replacement	189
replacement	181
replacement	195
replacement	198
replacement	184
replacement	186
replacement	192
replacement	203
replacement	190
replacement	189
replacement	177
replacement	191
replacement	196
replacement	199
replacement	180
replacement	218
replacement	192
replacement	188
replacement	206
replacement	183
replacement	186
replacement	207
replacement	186
replacement	219
replacement	186
replacement	205
replacement	231
replacement	193
replacement	175
replacement	197
replacement	240
replacement	186
replacement	201
replacement	207
replacement	202
replacement	234
replacement	190
replacement	196
regular	195
regular	176
regular	166
regular	181
regular	174
regular	211
regular	194
regular	176
regular	207
regular	189
regular	201
regular	198
regular	175
regular	197
regular	178
regular	201
regular	218
regular	182
regular	187
regular	183
regular	176
regular	200
regular	182
regular	181
regular	186
regular	174
regular	185
regular	174
regular	183
regular	200
regular	197
regular	178
regular	227
regular	187
regular	181
regular	184
regular	192
regular	203
regular	179
regular	188
regular	189
regular	182
regular	187
