musicType	amount
Classical	22
Classical	26.25
Classical	25
Classical	22.3
Classical	21.15
Classical	20.5
Classical	23.5
Classical	23.8
Classical	28.7
Classical	21.4
Classical	26
Classical	24.2
Classical	29
Classical	21.75
Classical	26.9
Classical	25.5
Classical	27.5
Classical	24.2
Classical	26.45
Classical	25.2
Classical	28.1
Classical	23.85
Classical	24.45
Classical	24.1
Classical	25.5
Classical	22
Classical	25
Classical	28.35
Classical	24
Classical	19.35
Classical	22.84
Classical	26.28
Classical	23.04
Classical	21.81
Classical	23.33
Classical	23.76
Classical	20.51
Classical	26.9
Classical	24.37
Classical	21.81
Classical	25.22
Classical	22.54
Classical	24.12
Classical	24.3
Classical	22.51
Classical	21.42
Classical	24.29
Classical	23.56
Classical	26
Classical	21.88
Classical	27.73
Classical	27.25
Classical	24.63
Classical	31.97
Classical	23.27
Classical	24.15
Classical	22.49
Classical	24.53
Classical	23.61
Classical	22.83
Classical	23.5
Classical	24.47
Classical	21.95
Classical	28.75
Classical	18.59
Classical	23.46
Classical	22.92
Classical	25
Classical	23.71
Classical	23.45
Classical	23.38
Classical	22.75
Classical	26.92
Classical	26.45
Classical	20
Classical	23
Classical	27.82
Classical	24.79
Classical	24.5
Classical	25.38
Classical	23.99
Classical	20.2
Classical	26.76
Classical	26.18
Classical	21.17
Classical	24.65
Classical	26.5
Classical	24.11
Classical	24.81
Classical	21.52
Classical	23.55
Classical	21.62
Classical	27.37
Classical	21.57
Classical	23.27
Classical	23.46
Classical	24.14
Classical	25.69
Classical	23.32
Classical	24.31
Classical	20.48
Classical	25.99
Classical	22.45
Classical	22.48
Classical	24.28
Classical	24.97
Classical	26.03
Classical	24.64
Classical	24.46
Classical	21.48
Classical	20.52
Classical	26.77
Classical	24.59
Classical	22.28
Classical	25.46
Classical	22.25
Classical	24.51
Classical	21.88
Classical	29.51
Classical	22.55
Pop	16.12
Pop	22.81
Pop	21.09
Pop	23.02
Pop	20.47
Pop	19.37
Pop	22.67
Pop	16.88
Pop	24.57
Pop	24.71
Pop	22.44
Pop	26.86
Pop	20.46
Pop	23.09
Pop	21.41
Pop	21.76
Pop	27.27
Pop	21.67
Pop	21.76
Pop	18.86
Pop	20.41
Pop	20.47
Pop	18
Pop	16
Pop	18.41
Pop	26.4
Pop	23
Pop	23
Pop	23.48
Pop	19.1
Pop	23.76
Pop	23.63
Pop	21.48
Pop	23.09
Pop	22.23
Pop	21
Pop	17.26
Pop	21.23
Pop	26.51
Pop	20.01
Pop	22.09
Pop	17.74
Pop	23.13
Pop	19.99
Pop	21.86
Pop	18.57
Pop	21.6
Pop	18.98
Pop	22.56
Pop	22.97
Pop	23.71
Pop	20.68
Pop	22.68
Pop	24.13
Pop	26.45
Pop	20.45
Pop	20.3
Pop	21.96
Pop	20.26
Pop	22.74
Pop	23.18
Pop	20
Pop	23.08
Pop	23.08
Pop	20.41
Pop	23.73
Pop	25.59
Pop	23.61
Pop	20.81
Pop	22.47
Pop	26.94
Pop	23.71
Pop	19.12
Pop	18
Pop	21.17
Pop	26.48
Pop	19.48
Pop	26.69
Pop	24.02
Pop	21.29
Pop	24.7
Pop	22.02
Pop	20.12
Pop	23.51
Pop	17.05
Pop	25.5
Pop	22.18
Pop	22
Pop	23.03
Pop	27.58
Pop	18.22
Pop	22.43
Pop	19.41
Pop	23.7
Pop	22.19
Pop	30.03
Pop	18.99
Pop	23
Pop	23.81
Pop	24.41
Pop	23.4
Pop	24.28
Pop	22
Pop	19.25
Pop	19.3
Pop	28.34
Pop	21.43
Pop	21.18
Pop	21.18
Pop	24.68
Pop	25.38
Pop	21.55
Pop	17.74
Pop	25.41
Pop	22.58
Pop	20.11
Pop	20
Pop	20.66
Pop	25.72
Pop	19.12
Pop	16.44
Pop	21.75
Pop	24.22
Pop	17.63
Pop	19.65
Pop	25.15
Pop	21.07
Pop	25.24
Pop	21.31
Pop	21.13
Pop	16.58
Pop	18
Pop	23
Pop	23.67
Pop	21.36
Pop	20.27
Pop	20.64
Pop	23.8
Pop	25.14
Pop	18.1
Pop	22
Pop	17.08
None	22.08
None	18.34
None	21.36
None	24.17
None	21.37
None	24.55
None	22.46
None	23.92
None	23.72
None	20.82
None	20.01
None	22.44
None	22.06
None	25.02
None	23.15
None	26.01
None	22.79
None	23.95
None	26.61
None	11.24
None	20.01
None	18.43
None	21
None	24.95
None	22.68
None	23.35
None	19.08
None	19.62
None	14.58
None	12.75
None	25.34
None	26.96
None	14.29
None	16.47
None	20.75
None	20.73
None	24.17
None	24.48
None	25
None	21.75
None	22.38
None	22.09
None	20.81
None	12.96
None	18.81
None	24
None	19.54
None	17.41
None	17.59
None	22.3
None	25.65
None	23.63
None	14.2
None	22.4
None	19.09
None	30.04
None	26.49
None	22.53
None	17.95
None	16.72
None	21
None	22.46
None	20.86
None	20.43
None	15.78
None	19.88
None	21.14
None	21.87
None	24.51
None	17.63
None	25.57
None	22
None	22.73
None	19.62
None	23.91
None	15.29
None	24.41
None	24.87
None	21.43
None	19.24
None	21.24
None	21.3
None	22.48
None	24.84
None	22.4
None	22.19
None	19.55
None	18.3
None	23.12
None	25.48
None	25.44
None	16.92
None	18.5
None	23.95
None	27.72
None	18.15
None	28.05
None	16.38
None	18.69
None	26.38
None	24.67
None	21.52
None	23.89
None	22.72
None	21.13
None	27.01
None	23.31
None	23.17
None	19.89
None	23.38
None	20.19
None	22.91
None	22.18
None	18.83
None	21
None	14.58
None	22.79
None	22.26
None	18.92
None	25.35
None	23.56
None	22.24
None	26.89
None	21.8
None	22.64
None	24.92
None	21
None	24.69
None	23.7
None	20.88
None	25.26
