sleep	GPA
8	3.57
7	3.3
4	3.41
9	3.69
7	3.84
7	3.32
6	3.63
7	3.1
5	3.54
7	1.97
6	3.7
8	3.8
4	3.5
7	3.52
8	3.6
6	2.74
8	3.46
6	3.3
7	3.3
7	2.5
5	3.3
8	3.6
12	2.3
6.5	4
4	3.2
7	3.56
7	3.97
8	3.73
8	3.7
6	3.67
7	3.48
4	3.95
6	3.6
7	3.75
7	2.87
7	3.2
8	4
9	3.79
9	3.59
7	3.4
7	3.65
5	3
7.5	4
7	3.33
7	3.37
6	2.85
8	3
6	3.2
6	3.86
7	2.8
4	3.5
7	3.5
9	3.89
6	3.45
8	3.2
7	3.5
8	3.91
6	3.58
8	3.8
8	3
7	3.2
7.5	2.87
7	3.55
7	3.41
5	3.8
7	3.75
5	3.3
11	3.3
5	2.4
7	3.4
7	3.91
7	3.45
6	3.43
7	3.66
7	2.5
7	3.95
6	3.11
6	3.85
8	3.12
8	3.9
7	3.45
6	3.82
7	4
8.5	3.92
6	3.88
7	3.31
7	3.5
7	3
5	3.54
7	3
7	3.7
7.5	4
6	3.74
6	3.06
7	3.99
6.5	3.33
6	3.92
7	3.5
4	3.12
8	3.82
6	2.7
7	3.65
9	2.9
6.5	3.9
3	3.61
7	3.25
8	3.71
5	4
2	3.85
6	3.6
8	3.96
6	3.9
6	3.1
8	3.68
6.5	3.78
6	3.85
7	3.68
8	3.39
8	3.08
7	3.51
7	3.6
7	3.46
5	2.82
8	3.63
5	3.27
4	3.13
8	4
5	3.65
7	3.6
4	3.9
6.5	3.74
9	1.03
8.5	3.73
4	3.75
5	2.7
7	3.03
7	2.26
6	3.6
8	3.08
8	3.96
5	3.65
9	3.94
7	3.45
6	3.03
7	3.38
8	3.7
7.5	3.42
6	3.94
7.5	3.2
4.5	3.02
6	0.95
7	3.6
8	3.84
9	4
7	3.51
6.5	3.94
6	3.71
8	3.16
7	3.91
7	3.67
7	3.57
4	3.15
7	3.67
6.5	3.45
8	2.87
7	3.7
7.5	3.06
7	3.98
4	3.45
9	3.79
5	2.8
6.5	3.95
6	3.9
6.5	3.76
6	3.93
6	3.7
6	3.45
4	2.8
8	3.3
6.5	3.88
7	3.82
7	3.27
4	3.98
5	2.8
5	2.75
6	3.29
5	3.85
6	3.98
6	3.81
9	3.26
8	3.8
8	3.89
7	3.67
8	4
8	3.56
4	3.76
7	3.72
8	3.86
7	3.1
9	3.4
5	3.47
8	3.36
7	3.97
7	3.8
8	3.89
6	3.95
8	3.89
6	3.07
7	3.87
7	3.6
8	3.8
6	3.4
6	3.13
6	2.8
7.5	4
7	3.78
5	3.5
6	3.54
8.5	3.94
7	3.83
7	3.96
5	3.73
8	3.23
7	3.46
6	3.73
5	3
6.5	3.92
7	3.07
6	3.85
7	3
6	3.25
6.5	4
6	3.56
10	3.65
7	3.3
5	3.96
7	2.97
8	3.09
5	3.59
5	3.48
8	4
6	3.7
7	3.29
7	3.38
7	3.72
0	2.64
6	3.43
5	3.55
5	3.46
9	3.05
7.5	3.46
6.5	3.2
7	3.3
8	3.8
7	3.45
8	3.51
6	3.8
8	3.73
4	3.3
9	3.77
7	3.6
7.5	3.8
7	3.7
6	3.69
6.5	3.8
7	3.93
5	3.5
9	2.98
8	3.9
7	3.75
8	3.3
8	3.23
8	3.43
7	3.65
6	3.2
7	3.5
7	3.66
6.5	3.18
9	2.67
6.5	3.96
7	3.4
8	3.4
8	3.75
8	3.79
5	3.02
5	3.6
11	3.94
8	3.81
5	3.58
6.5	3.86
6	3.7
7.5	3.76
8	2.64
10	3.43
7	3.67
8	3.2
7	2.5
7	3.97
6	3.94
8	3.97
9	3.72
8	3.3
6	3.7
5	3.5
7	3.89
9	3.88
7	3.74
7	3.9
5	3.1
7	3.96
6	3.7
0	3.75
7	3.59
5	3.55
7	3.53
6	3.33
10	3.77
6	3.8
7	3.3
5	3.6
7	3.1
6	3.4
7	3.1
6	3
8	3.85
4.5	3.75
8	3.77
6.5	2.8
2	3.9
7	3.84
7	2.43
7	3.4
5	3.39
7	3.27
7	3.71
6	3.36
5	3.71
6	3.1
6	4
6	3.16
8	3.97
7	3.86
8	3.5
6	3.98
4	3.19
6	2.1
6	3.8
7	3.9
6.5	3.66
7	3.94
7.5	3.7
8	3.92
5	2.5
8	3.75
7.5	3.9
5	3.4
4.5	3.34
8	2.93
8	3.85
8	3.5
8	3.87
8	3.72
5	3.47
7	3.76
9	4
7	3
7.5	3.92
8	2
5	3.37
6.5	2.9
7	4
6	3.6
6	3.98
12	3.12
8	3.8
6	3.9
7	3.2
5	3.5
7	3.4
4	3.31
7.5	3.91
5	3
6	3.88
8	3.7
6	3.72
6	3.35
6	3.56
6.5	3.79
6	3.6
6.5	3.4
8	3.75
10	3.5
6	3.83
6	3.12
5	3.74
6	3.5
8	3.7
6	3.71
6	3.94
10	3.3
4	3.79
7	3.4
4	3.4
8	3.79
8	3.83
6	4
9	3.84
8	3.55
4	3.15
7	3.81
6	3.15
8	3.13
7	3.5
8	3.52
5.5	3.79
7	4
8	3.7
6	3.3
7	3.76
7	3.98
8	3.9
7	4
7	3.44
6	2.72
6	3.65
5	3.3
8	3.75
7	2.9
6	3
7	3.49
8	3.6
8	3.5
6	3.94
5	3.59
6	3.75
8	3.65
6	3.06
5	3.8
6	2.98
6	2.95
9	3.33
8	3.64
8	3.98
7	3.25
7	3.38
6.5	3.8
5	3.2
6	3.84
6	3.55
7	3
7	3.5
5	3.92
6	3.72
7	3.2
7	3.6
8	3.49
6	3.5
6	3.54
8	3.7
8	3.81
5	3.63
7	3.6
6.5	3.35
7	3.8
4	3.48
8	3.38
6	3.8
8	3.8
7	3.6
7	3.72
6	3
8	3.5
7	3.86
7	3.82
5	3.2
9	3.56
8	3.98
6	3.25
7	3.8
6	3.6
7	3.67
6	3.58
8	3.8
7	3.67
7	3.25
8	3.96
7	3.65
6	3.82
7	3.76
8	3.77
7	3.93
7	3.27
5	3.3
7	3.3
9	3.74
8	3.84
8	3.28
5	3.62
7	3.65
8	3.2
8	3.9
9	4
5	3.2
5	3.8
7	3.73
6	3.35
7	3.9
6	2.9
6.5	3.8
8.5	4
8	3.77
6	3.3
7	3.14
7	3.54
8	3.75
6	3.26
9	3.85
5	3.2
8	3.4
5	3.85
7	3.7
8	3.4
6	3.41
7	3.68
7	3.25
8	3.8
6.5	3.2
4	3.33
8	3.4
6	3.2
6	3.25
6	3.67
6	3.2
