media	score
ENews	24
FB	25
ENews	24
FB	28
ENews	20
Control	20
FB	28
Control	25
FB	21
ENews	24
FB	29
ENews	20
Control	26
Control	22
Control	26
FB	26
FB	27
FB	26
ENews	16
FB	30
Control	26
Control	30
Control	18
Control	18
Control	23
ENews	29
Control	25
ENews	20
Control	19
ENews	29
Control	25
FB	28
Control	27
ENews	28
ENews	22
FB	22
FB	19
ENews	12
Control	30
Control	17
ENews	27
FB	29
ENews	26
ENews	22
Control	14
ENews	29
FB	30
FB	28
ENews	22
Control	24
ENews	20
FB	29
ENews	23
FB	29
FB	28
Control	18
FB	30
Control	23
FB	24
ENews	19
ENews	20
ENews	18
FB	26
Control	19
Control	20
ENews	21
Control	30
FB	26
FB	26
FB	23
Control	22
ENews	28
ENews	17
ENews	21
FB	17
ENews	24
FB	22
FB	26
Control	20
Control	20
Control	20
