location	collision
outside	yes
outside	yes
outside	yes
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	yes
outside	yes
outside	yes
outside	yes
outside	yes
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	yes
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	yes
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	yes
outside	yes
outside	yes
outside	yes
outside	yes
outside	yes
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	yes
outside	yes
outside	no
outside	no
outside	yes
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
outside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	yes
inside	yes
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	no
inside	no
inside	no
inside	no
inside	yes
inside	yes
inside	no
inside	no
inside	no
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	yes
inside	no
inside	no
inside	no
inside	yes
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
inside	no
outside	no
inside	no
inside	no
