Speed	Collision
slow	yes
slow	yes
slow	yes
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
slow	yes
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
fast	yes
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
slow	yes
slow	yes
fast	yes
fast	yes
slow	yes
slow	yes
slow	no
slow	no
slow	no
slow	no
slow	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	yes
slow	yes
slow	no
slow	no
fast	yes
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
fast	yes
fast	yes
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
slow	yes
slow	yes
slow	yes
slow	yes
slow	yes
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	no
fast	no
fast	no
fast	no
slow	yes
slow	yes
slow	no
slow	no
slow	no
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	yes
fast	no
fast	no
fast	no
slow	yes
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
slow	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
fast	no
