age	   time 
8	25.96
14	25.00
38	17.36
10	42.46
25	17.00
36	21.48
59	24.45
58	23.40
62	33.98
60	15.73
59	20.08
57	18.11
19	13.61
19	16.41
19	13.58
19	16.78
19	17.05
18	16.50
18	29.08
19	14.45
18	10.88
19	18.31
19	13.60
19	13.91
45	24.20
35	18.91
80	37.25
57	23.61
30	13.45
72	29.80
8	47.96
8	25.00
10	27.96
29	21.08
28	19.31
50	15.13
78	26.60
87	100.60
12	19.88
18	14.45
58	21.41
57	21.88
21	15.50
44	25.86
45	20.00
53	25.18
19	21.05
19	16.15
53	25.86
19	18.53
