pre_weight	post_weight
70.5	75.6
71.3	70.7
64.5	66.6
97	95
71	73.2
72.5	73.1
73.8	72.9
74.7	72.5
72.4	71.2
65.7	64.1
77.2	78.2
73.2	75.8
78.6	78.1
86.2	88.9
72.7	72.9
65.2	68
74.5	76.5
72.2	74.1
82	79.5
80.7	78
61.7	62.5
83	84.4
89	93.2
79.5	83.1
59.1	59.9
68	67.8
87.7	91.5
90.2	85.7
62.5	62
73.8	75.9
81	81.7
84	85.8
77.4	76.6
77.8	73.5
80.4	80.3
79.8	81.2
89.9	86.4
72	75.5
88.2	90
64.1	65.7
68.1	75
91.1	101
89.5	89.5
80.7	83.5
75.6	75.7
69	72.2
68.8	70.3
72	71.1
71.5	71
71	72.3
61.5	63.3
85	84.2
84.5	84.3
84.2	83.3
87.1	89.5
63.7	65.3
84.6	82.7
77.2	74.9
86.7	87.2
80.5	82.7
86.5	86.9
70	72
57.3	60.9
76	75
68.7	69.8
75.3	75.8
81	84
76.6	79.7
56.8	57.5
68.7	68.4
86.5	87.3
64.7	66.5
95.5	91.5
98.5	99.5
74.5	74.3
61.4	61.8
71	71.8
72.7	74.9
82.6	83.3
65.5	67.8
62.7	62.4
60	61.6
68.5	66.8
71	75
54.5	57.2
55.2	57.5
59	60
60	58.7
54.2	55.1
57.9	58.8
42.3	42.7
60	57.8
52	51.7
66	68.2
57	57.6
51	51.9
52.5	51
64.8	63.4
67.3	67.9
56.7	53.3
53.5	54.2
61.7	55.3
52	53.8
55.2	57.6
56.9	59.9
61	59.1
47.2	48.5
53	54
48.7	48
57.2	58.2
59.5	59.5
54.6	56
56.2	56.5
56.6	58
59.8	61.8
55.2	57.3
85.6	88
69.9	70.1
59.9	59.5
64.8	64.8
60.7	64.4
53.8	53.9
51.5	51.4
75.4	73.7
63.3	66.1
60	61.7
62.7	64.5
65.2	65.1
46.5	45.7
61.5	67.6
35.2	34.9
55.1	53.8
54.8	56
50.6	52.7
71.8	72.7
57.7	56.5
53	52
53.3	58.3
64.6	64.5
49.8	52
50.4	50.6
71.2	72.8
71.5	72.8
56.7	59.1
77	77.4
65.2	65.3
90.8	86.2
66.8	65.7
59.1	57.1
56.4	56
41.9	49
56	57.3
60	59.5
60.2	60.4
63.8	65.8
56.2	53.5
64.9	68.9
73.3	73.6
57.6	51.7
69	69.7
65.6	65.5
57.8	54.8
60.6	59.7
47.2	47.5
60.3	60
67.8	70.5
46.6	44.9
60.4	61.6
64	64.8
54	52
74.5	74.8
70.8	74.2
63.3	62.2
60	60.8
64.2	65.7
61.9	61.4
61.8	63.8
51.3	53.3
63.9	65.9
62.9	63
